Program_Risk_Code	Work_Accomplishment_ID	Operation_Date_FY	Operation_Date	Inspection_PAC_List	Total_Employees	Total_Hours_Spent
FFNR	4361694	2010	3/30/2010	03803,03842H	2	70.00
FFNR	4363305	2010	2/23/2010	03803,71009	2	12.00
FFNR	4366493	2010	5/5/2010	03803,21008A,56002	1	30.00
FFNR	4366751	2010	5/20/2010	03803,03803A	1	48.00
FFNR	4368036	2010	6/2/2010	03842,03842H	1	100.00
FFNR	4368088	2010	3/30/2010	03803	1	10.00
FFNR	4368172	2010	8/19/2010	03803,03803E	3	40.00
FFNR	4368193	2010	5/13/2010	18029A	2	7.00
FFNR	4368211	2010	5/24/2010	18029A	2	6.00
FFNR	4368251	2010	3/31/2010	03803,03842,03842H	1	24.00
FFNR	4368280	2010	2/25/2010	03842,03842H	1	16.00
FFNR	4368319	2010	12/18/2009	03803	1	8.00
FFNR	4368327	2010	7/27/2010	03803,03847,03847H	2	20.00
FFNR	4368338	2010	1/7/2010	03842,03842H	2	16.00
FFNR	4368413	2010	10/20/2009	03803	1	19.00
FFNR	4372257	2010	2/18/2010	03803,03842	1	64.00
FFNR	4372732	2010	10/2/2009	03803	1	12.00
FFNR	4373193	2010	4/21/2010	03803,21002,21006,71009	3	144.00
FFNR	4373943	2010	1/6/2010	03803,04803,09803,29001,56002,56R800,82R800	1	18.00
FFNR	4375148	2010	4/28/2010	03803,71009	1	8.00
FFNR	4375242	2010	5/17/2010	03037	1	59.00
FFNR	4375541	2011	8/10/2011	03803	1	8.00
FFNR	4375687	2010	9/7/2010	03803,21008	1	15.00
FFNR	4375907	2010	9/22/2010	03803,03847,03847H	1	31.00
FFNR	4375922	2010	3/30/2010	03803,03R845	1	28.00
FFNR	4375996	2010	6/15/2010	18029A	1	14.00
FFNR	4376027	2010	6/16/2010	18029A	1	10.00
FFNR	4376062	2010	7/8/2010	18029A	1	14.00
FFNR	4376107	2010	5/25/2010	18029A	1	9.00
FFNR	4376169	2010	4/21/2010	18029A	1	8.00
FFNR	4376173	2010	4/21/2010	18029A	1	9.00
FFNR	4376174	2010	4/20/2010	18029A,18029F	1	11.50
FFNR	4376396	2010	3/26/2010	03803,56002,56002F,71009	2	20.00
FFNR	4376885	2010	10/23/2009	03803,03803A,21005	1	48.00
FFNR	4377023	2010	11/18/2009	03803,03803E	1	21.00
FFNR	4377030	2010	3/11/2010	03842,03842H,03844,03844H	2	22.00
FFNR	4377186	2011	2/17/2011	03847,03847H,71009	2	49.00
FFNR	4378656	2010	1/5/2010	03803,03842	2	41.00
FFNR	4379871	2010	10/28/2009	03803	1	12.00
FFNR	4380007	2010	4/15/2010	03803	1	10.50
FFNR	4380774	2010	3/23/2010	03842,03842H	1	28.00
FFNR	4381410	2010	11/10/2009	03803	1	25.50
FFNR	4381416	2010	10/30/2009	03803	1	25.00
FFNR	4381423	2010	12/2/2009	03803	1	22.00
FFNR	4381428	2010	6/9/2010	03842,03842H	2	87.50
FFNR	4381432	2010	12/17/2009	03803	1	35.00
FFNR	4381813	2010	8/2/2010	03803	1	12.00
FFNR	4382789	2010	7/28/2010	03803,18029A	1	20.00
FFNR	4382791	2010	7/28/2010	03803,18029A	1	20.00
FFNR	4382910	2010	3/4/2010	03803,03842,03842H	1	50.00
FFNR	4382917	2010	5/10/2010	03803,03803E	1	16.00
FFNR	4382930	2010	8/26/2010	03803	2	39.00
FFNR	4382985	2010	9/27/2010	03803,21005	1	20.00
FFNR	4382992	2010	10/19/2009	03803	1	14.00
FFNR	4383740	2011	4/22/2011	29001,56002,71001	1	25.00
FFNR	4384155	2010	9/16/2010	18029A	2	24.00
FFNR	4384186	2010	11/4/2009	03803	1	16.00
