Program_Risk_Code	Work_Accomplishment_ID	Operation_Date_FY	Operation_Date	Inspection_PAC_List	Total_Employees	Total_Hours_Spent
FFHR	5582886	2011	6/28/2011	18029A	1	7.00
FFHR	5583313	2012	11/16/2011	03F839	3	80.00
FFHR	5583314	2011	8/2/2011	03F839	3	32.00
FFHR	5583319	2012	10/4/2011	03803,03F839	2	6.00
FFHR	5584157	2011	7/8/2011	03803	1	13.00
FFHR	5584302	2011	9/28/2011	03F840	3	30.00
FFHR	5584304	2012	10/20/2011	03842,03F840	3	126.00
FFHR	5584305	2012	10/5/2011	03F840	3	80.00
FFHR	5584307	2011	9/13/2011	03F840	3	48.00
FFHR	5584312	2011	9/21/2011	03F840	3	73.00
FFHR	5584316	2011	9/1/2011	03F840	2	28.50
FFHR	5584318	2011	9/1/2011	03F840	2	52.00
FFHR	5584319	2011	7/27/2011	03F840	3	139.00
FFHR	5584320	2011	7/26/2011	03842B	2	65.00
FFHR	5584322	2011	8/3/2011	03842,03842H,03F840	3	79.50
FFHR	5584323	2011	9/21/2011	03844H,03F840	3	48.00
FFHR	5584324	2011	8/1/2011	03F840	3	64.00
FFHR	5584325	2011	8/25/2011	03F840	1	33.00
FFHR	5584329	2011	8/26/2011	03F840	1	35.00
FFHR	5584331	2011	9/30/2011	03842,03842H,03844,03844H	3	167.00
FFHR	5584333	2011	8/30/2011	03842,03842H,03F840	1	26.50
FFHR	5584379	2011	7/12/2011	03037	1	11.00
FFHR	5584542	2011	7/11/2011	03803	1	24.00
FFHR	5584560	2011	8/25/2011	03803	1	48.00
FFHR	5584568	2011	8/1/2011	03803	1	8.00
FFHR	5584590	2011	9/28/2011	03803	2	28.00
FFHR	5584593	2011	6/15/2011	03803	2	32.00
FFHR	5584886	2011	9/20/2011	03803	1	24.00
FFHR	5584887	2011	7/14/2011	03803,04803,09803	1	20.00
FFHR	5584890	2011	9/13/2011	03803,04803,09803	1	10.00
FFHR	5585448	2011	8/11/2011	18029A	1	16.00
FFHR	5585810	2011	8/10/2011	03842,03842H,03F838,21005	2	91.00
FFHR	5585894	2011	7/14/2011	03803,03803E,03R800	1	38.50
FFHR	5585918	2011	7/8/2011	18029A	1	12.00
FFHR	5586436	2011	7/6/2011	03803	1	20.00
FFHR	5586441	2011	7/5/2011	03803	1	20.00
FFHR	5587373	2011	7/20/2011	03F839	3	88.00
FFHR	5587748	2011	7/21/2011	21008,56002,56021A,56021B	2	17.00
FFHR	5587766	2011	5/22/2011	18029A	1	14.00
FFHR	5587803	2011	5/24/2011	18029A	1	9.00
FFHR	5587818	2011	7/16/2011	03803,03R263	2	50.00
FFHR	5587872	2011	7/15/2011	03803,03R263	2	116.00
FFHR	5588120	2011	7/11/2011	03803	1	10.50
FFHR	5588450	2011	7/14/2011	03803	1	24.00
FFHR	5588499	2011	7/21/2011	03844	1	50.00
FFHR	5589293	2011	7/13/2011	03803,21005	1	28.00
FFHR	5589298	2011	8/17/2011	03803	1	54.00
FFHR	5589400	2011	7/20/2011	03803,21005	1	16.00
FFHR	5589466	2011	6/28/2011	18029C	1	4.00
FFHR	5590898	2011	7/12/2011	18029A	1	14.00
FFHR	5591543	2011	9/27/2011	03803,03842,03842H	1	70.00
FFHR	5591959	2011	1/31/2011	03803	1	0.50
FFHR	5591962	2011	3/16/2011	03803	1	0.50
FFHR	5592043	2011	3/24/2011	03803	1	0.50
FFHR	5592133	2011	2/14/2011	03803	1	0.50
FFHR	5592189	2011	10/13/2010	03803	1	0.50
FFHR	5592191	2011	7/14/2011	03803	1	20.00
FFHR	5592358	2011	7/14/2011	21008	1	26.00
FFHR	5592887	2011	7/29/2011	21008,56002	1	100.00
FFHR	5592964	2011	7/14/2011	03803	1	17.00
FFHR	5593211	2011	5/24/2011	18029A	1	10.00
FFHR	5593423	2011	5/23/2011	18029A	1	12.00
FFHR	5593580	2011	6/9/2011	03803	1	18.00
FFHR	5593691	2011	5/23/2011	18029A	1	12.00
FFHR	5594863	2011	7/13/2011	18029A	1	6.00
FFHR	5595000	2011	5/24/2011	18029A	1	12.00
FFHR	5595006	2011	5/25/2011	18029A	1	6.00
FFHR	5596496	2011	4/1/2011	03803	1	0.50
FFHR	5596833	2012	1/13/2012	03803,18029A	1	28.50
FFHR	5597539	2011	7/21/2011	03803,03803E,03F839	3	72.00
FFHR	5597628	2011	2/17/2011	03803	1	0.50
FFHR	5597629	2011	4/19/2011	03803	1	0.50
FFHR	5597634	2011	2/14/2011	03803	1	0.50
FFHR	5597785	2011	8/2/2011	03803,03F839	3	50.00
FFHR	5597786	2012	10/26/2011	03803,03F839	3	59.00
FFHR	5599228	2011	7/19/2011	03803	1	32.00
FFHR	5599449	2011	7/20/2011	03037	1	26.00
FFHR	5599466	2011	7/27/2011	03037,03803,21005	1	28.00
FFHR	5599497	2011	9/7/2011	03037,03803	1	56.00
FFHR	5599604	2011	8/23/2011	03803,03842,03842H	2	174.00
FFHR	5599777	2011	7/1/2011	18029A	1	6.00
FFHR	5599970	2011	7/19/2011	03803	1	20.00
FFHR	5600201	2011	8/2/2011	03803	1	24.00
FFHR	5600211	2011	8/24/2011	03803	1	24.00
FFHR	5600231	2012	10/6/2011	03803	1	24.00
FFHR	5600432	2011	7/25/2011	03803	1	16.00
FFHR	5600460	2011	7/27/2011	03803,18029A	1	32.00
FFHR	5600481	2011	8/3/2011	03803	1	18.00
FFHR	5600618	2011	7/26/2011	03847H	1	28.00
FFHR	5600846	2011	8/8/2011	03803	1	14.00
FFHR	5601058	2011	7/18/2011	03803	1	16.00
FFHR	5601114	2011	8/2/2011	03803A,03842,03842H	1	35.00
FFHR	5601157	2011	8/10/2011	03803A,03842,03842H	1	40.00
FFHR	5601162	2011	8/3/2011	03842,03842H	1	20.00
FFHR	5601768	2011	7/15/2011	03803	1	13.00
FFHR	5602155	2011	7/25/2011	03803	1	28.00
FFHR	5602180	2011	8/3/2011	03803	1	9.00
FFHR	5602312	2011	8/3/2011	03803	1	16.00
FFHR	5602323	2011	8/1/2011	03803	1	12.00
FFHR	5602330	2011	8/3/2011	03803	1	18.00
FFHR	5602335	2011	8/5/2011	03803	1	10.00
FFHR	5602510	2011	9/8/2011	03037	1	70.50
FFHR	5602650	2011	7/19/2011	03803	1	16.00
FFHR	5602800	2011	8/18/2011	03803,03F839,21005	3	67.00
FFHR	5602801	2012	10/31/2011	03F839	3	36.00
FFHR	5603082	2011	7/20/2011	18029A	1	16.00
FFHR	5603109	2011	7/27/2011	03803	1	18.00
FFHR	5603902	2011	7/21/2011	18029C	1	7.00
FFHR	5604498	2011	8/19/2011	18029A	1	14.00
FFHR	5604502	2011	9/23/2011	03803,03803A,21008	1	64.00
FFHR	5604574	2011	7/22/2011	03803,03803E	1	26.00
FFHR	5604703	2011	8/11/2011	03842,03842H	1	30.00
FFHR	5605828	2011	7/20/2011	03037	3	22.00
FFHR	5605990	2011	7/28/2011	03803,03803E	1	20.00
FFHR	5606022	2011	9/16/2011	03803,03847,03847H	2	70.00
FFHR	5606024	2011	9/22/2011	03803,03803A	1	13.00
FFHR	5606027	2011	8/24/2011	03803	1	28.00
FFHR	5606434	2011	7/22/2011	03803	1	26.00
FFHR	5606493	2011	7/21/2011	03803	1	6.00
FFHR	5606507	2012	9/14/2012	03842,03842H,03844H	1	45.00
FFHR	5606761	2011	8/18/2011	03803	1	20.00
FFHR	5606762	2011	8/22/2011	03803,09006A	1	22.00
FFHR	5606765	2011	8/22/2011	03803,21005	1	38.00
FFHR	5607577	2011	7/21/2011	21008	1	16.00
FFHR	5607728	2011	7/20/2011	18029A	1	8.00
FFHR	5607774	2011	7/21/2011	03803	1	40.00
FFHR	5608904	2011	9/1/2011	03803,03R801,71009	1	16.00
FFHR	5609336	2011	7/25/2011	03803,21005	1	29.00
FFHR	5609928	2011	8/3/2011	03037	1	18.00
FFHR	5609954	2013	10/15/2012	03842,03842H	1	38.00
FFHR	5610098	2011	8/10/2011	03803	1	18.00
FFHR	5610180	2011	7/28/2011	03803	1	28.00
FFHR	5610206	2011	8/9/2011	03803	1	8.00
FFHR	5610219	2011	7/26/2011	03803,03847	2	64.00
FFHR	5610262	2011	8/2/2011	03037	1	21.00
FFHR	5610320	2011	9/12/2011	03847H	2	71.00
FFHR	5611300	2011	8/3/2011	21008,21008A	2	65.00
FFHR	5611304	2011	9/28/2011	21008A	1	70.00
FFHR	5611394	2011	7/29/2011	03803,03803A	2	80.00
FFHR	5611420	2011	8/29/2011	03803A	1	14.00
FFHR	5611437	2011	9/1/2011	03803	1	8.00
FFHR	5611583	2011	7/25/2011	03803,21005	1	28.00
FFHR	5611603	2012	2/13/2012	03842,03842H	1	40.00
FFHR	5611687	2011	7/26/2011	03803	1	48.00
FFHR	5612492	2011	7/26/2011	03803	1	16.00
FFHR	5612831	2011	10/25/2010	03803	1	0.50
FFHR	5612843	2011	2/8/2011	03803	1	0.50
FFHR	5612910	2011	11/24/2010	03803	1	0.50
FFHR	5612926	2011	12/21/2010	03803	1	0.50
FFHR	5612938	2011	3/29/2011	03803	1	0.50
FFHR	5612984	2011	1/26/2011	03803	1	0.50
FFHR	5613583	2011	7/28/2011	03803	3	89.00
