HR2	HR3	NHR2	NHR3
210.00	96.00	10.00	50.00
209.00	96.00	31.00	50.00
209.00	96.00	21.00	50.00
208.00	96.00	24.00	50.00
208.00	96.00	20.00	50.00
207.00	96.00	12.00	50.00
207.00	96.00	34.00	50.00
207.00	96.00	45.00	50.00
206.00	96.00	24.00	50.00
206.00	96.00	7.00	50.00
206.00	96.00	8.00	50.00
205.00	96.00	15.00	50.00
205.00	96.00	70.00	50.00
205.00	96.00	64.00	50.00
205.00	96.00	27.00	50.00
205.00	96.00	8.00	50.00
204.50	96.00	36.00	50.00
203.80	96.00	43.00	50.00
203.00	96.00	6.00	50.00
203.00	96.00	56.00	50.00
203.00	96.00	30.00	50.00
203.00	96.00	30.00	50.00
203.00	96.00	18.00	50.00
202.00	96.00	50.00	50.00
202.00	96.00	60.00	50.00
202.00	95.50	40.00	50.00
201.50	95.50	158.00	50.00
201.00	95.50	8.50	50.00
200.50	95.50	8.50	50.00
200.50	95.50	24.00	50.00
200.00	95.50	32.00	50.00
200.00	95.50	50.00	50.00
200.00	95.30	15.00	50.00
200.00	95.00	41.80	50.00
200.00	95.00	107.00	50.00
199.00	95.00	8.00	50.00
198.00	95.00	16.00	50.00
197.00	95.00	88.00	50.00
197.00	95.00	25.00	50.00
197.00	95.00	16.00	50.00
196.00	95.00	20.00	50.00
196.00	95.00	47.00	50.00
195.00	95.00	8.00	50.00
195.00	95.00	30.00	50.00
195.00	95.00	39.00	50.00
195.00	95.00	19.00	50.00
195.00	95.00	33.00	50.00
195.00	95.00	7.50	50.00
195.00	95.00	20.00	50.00
195.00	95.00	39.00	50.00
195.00	95.00	34.00	50.00
195.00	95.00	10.00	50.00
194.00	95.00	44.00	50.00
194.00	95.00	32.00	50.00
194.00	95.00	38.50	50.00
192.00	95.00	18.00	50.00
192.00	95.00	11.50	50.00
192.00	94.80	10.00	50.00
192.00	94.50	16.00	50.00
192.00	94.50	5.50	50.00
192.00	94.00	56.00	50.00
192.00	94.00	85.00	50.00
192.00	94.00	23.50	50.00
192.00	94.00	24.00	50.00
192.00	94.00	102.00	50.00
191.00	94.00	14.00	50.00
190.00	94.00	13.50	50.00
190.00	94.00	10.00	50.00
190.00	94.00	29.00	50.00
190.00	94.00	45.00	50.00
190.00	94.00	15.00	50.00
190.00	94.00	18.00	50.00
190.00	94.00	4.00	50.00
190.00	94.00	15.00	50.00
190.00	94.00	12.00	50.00
189.00	94.00	22.00	50.00
189.00	94.00	21.00	50.00
188.00	94.00	20.00	50.00
187.50	94.00	66.00	50.00
187.00	94.00	11.00	50.00
187.00	94.00	10.10	50.00
187.00	94.00	3.00	50.00
186.00	94.00	30.00	50.00
186.00	94.00	55.00	50.00
185.00	94.00	25.00	50.00
185.00	94.00	27.00	50.00
185.00	93.50	15.00	50.00
185.00	93.50	40.00	50.00
185.00	93.50	25.00	50.00
184.50	93.50	30.00	50.00
184.50	93.00	30.00	50.00
184.00	93.00	36.00	50.00
184.00	93.00	50.00	50.00
184.00	93.00	26.00	50.00
183.50	93.00	72.00	50.00
183.00	93.00	25.00	50.00
183.00	93.00	76.00	50.00
183.00	93.00	44.00	50.00
183.00	93.00	27.50	50.00
183.00	93.00	55.00	50.00
182.90	93.00	90.00	50.00
182.00	93.00	25.00	50.00
181.60	93.00	14.00	50.00
181.00	93.00	26.00	50.00
180.50	93.00	40.00	49.50
180.00	93.00	23.00	49.50
180.00	93.00	14.00	49.00
180.00	93.00	36.00	49.00
180.00	93.00	16.00	49.00
180.00	93.00	25.00	49.00
180.00	92.50	18.00	49.00
180.00	92.50	20.00	49.00
180.00	92.00	16.20	49.00
180.00	92.00	12.50	49.00
180.00	92.00	9.00	49.00
180.00	92.00	12.00	49.00
180.00	92.00	16.00	49.00
179.00	92.00	11.00	49.00
179.00	92.00	28.00	49.00
178.00	92.00	37.70	49.00
178.00	92.00	30.00	49.00
178.00	92.00	10.00	49.00
178.00	92.00	20.00	49.00
178.00	92.00	16.00	49.00
177.40	92.00	25.00	49.00
177.00	92.00	30.00	49.00
177.00	92.00	8.00	49.00
177.00	92.00	28.00	48.50
177.00	92.00	18.00	48.50
177.00	92.00	19.50	48.50
177.00	92.00	15.00	48.50
176.00	92.00	14.00	48.30
176.00	92.00	16.50	48.00
176.00	92.00	50.00	48.00
176.00	92.00	6.00	48.00
176.00	92.00	32.00	48.00
176.00	92.00	6.50	48.00
176.00	92.00	20.20	48.00
176.00	92.00	6.50	48.00
176.00	92.00	6.00	48.00
176.00	92.00	3.00	48.00
175.80	92.00	8.00	48.00
175.00	92.00	31.00	48.00
174.00	92.00	28.00	48.00
174.00	92.00	8.00	48.00
174.00	92.00	18.00	48.00
174.00	92.00	9.00	48.00
174.00	92.00	90.00	48.00
173.00	92.00	11.00	48.00
173.00	92.00	14.40	48.00
173.00	92.00	40.00	48.00
172.00	92.00	22.00	48.00
172.00	92.00	13.50	48.00
172.00	92.00	13.00	48.00
172.00	92.00	51.00	48.00
172.00	92.00	69.00	48.00
172.00	92.00	19.00	48.00
171.00	92.00	8.00	48.00
171.00	91.50	6.00	48.00
171.00	91.50	3.00	48.00
170.50	91.50	8.00	48.00
170.00	91.00	215.00	48.00
170.00	91.00	61.00	48.00
170.00	91.00	58.00	48.00
170.00	91.00	6.00	48.00
170.00	91.00	23.00	48.00
170.00	91.00	16.50	48.00
170.00	91.00	29.00	48.00
170.00	91.00	6.00	48.00
170.00	91.00	27.00	48.00
170.00	91.00	5.00	48.00
170.00	91.00	16.00	48.00
170.00	91.00	3.00	48.00
170.00	91.00	30.00	48.00
168.00	91.00	17.00	48.00
168.00	91.00	6.00	48.00
168.00	91.00	10.00	48.00
168.00	90.50	34.00	48.00
168.00	90.50	56.00	48.00
168.00	90.50	36.00	48.00
168.00	90.50	4.00	48.00
168.00	90.20	22.50	48.00
168.00	90.00	7.00	48.00
167.50	90.00	3.00	48.00
167.00	90.00	16.00	48.00
167.00	90.00	9.00	48.00
167.00	90.00	12.00	48.00
166.50	90.00	5.00	48.00
166.00	90.00	21.00	48.00
166.00	90.00	12.00	48.00
166.00	90.00	8.00	48.00
166.00	90.00	40.00	48.00
166.00	90.00	9.00	48.00
166.00	90.00	12.00	48.00
166.00	90.00	8.00	48.00
165.00	90.00	5.00	48.00
165.00	90.00	33.00	48.00
165.00	90.00	17.00	48.00
165.00	90.00	3.50	48.00
165.00	90.00	18.00	48.00
165.00	90.00	12.00	48.00
165.00	90.00	18.00	48.00
164.00	90.00	15.00	48.00
164.00	90.00	10.00	48.00
164.00	90.00	12.00	48.00
164.00	90.00	6.00	48.00
164.00	90.00	32.00	48.00
164.00	90.00	32.00	48.00
164.00	90.00	12.00	48.00
164.00	90.00	28.00	48.00
163.50	90.00	12.00	48.00
163.00	90.00	8.00	48.00
163.00	90.00	5.50	48.00
163.00	90.00	16.50	48.00
163.00	90.00	16.00	48.00
163.00	90.00	43.00	48.00
162.00	90.00	22.00	48.00
162.00	90.00	19.50	48.00
162.00	90.00	21.50	48.00
161.00	90.00	5.00	48.00
161.00	90.00	3.00	48.00
161.00	90.00	28.00	48.00
161.00	90.00	10.00	48.00
160.50	90.00	35.00	48.00
160.50	90.00	12.50	48.00
160.20	90.00	25.00	48.00
160.00	90.00	45.00	48.00
160.00	90.00	45.00	48.00
160.00	90.00	10.00	48.00
160.00	90.00	7.50	48.00
160.00	90.00	65.00	48.00
160.00	90.00	18.50	48.00
160.00	90.00	50.00	48.00
160.00	90.00	48.00	48.00
160.00	90.00	94.00	48.00
160.00	90.00	25.00	48.00
160.00	90.00	30.00	48.00
160.00	90.00	10.50	48.00
160.00	90.00	63.00	48.00
160.00	90.00	9.00	48.00
160.00	90.00	38.00	47.70
160.00	90.00	20.00	47.50
160.00	90.00	16.00	47.50
159.20	90.00	15.00	47.50
159.00	90.00	51.00	47.50
159.00	90.00	16.00	47.00
159.00	90.00	16.00	47.00
159.00	90.00	20.00	47.00
159.00	90.00	29.00	47.00
158.50	90.00	37.00	47.00
158.00	90.00	45.00	47.00
158.00	90.00	96.00	47.00
158.00	90.00	51.00	47.00
158.00	90.00	30.50	47.00
158.00	90.00	6.50	47.00
158.00	90.00	3.50	47.00
157.00	90.00	6.00	47.00
156.00	90.00	6.50	47.00
156.00	90.00	6.00	47.00
156.00	90.00	6.50	47.00
156.00	90.00	4.50	47.00
156.00	90.00	3.50	47.00
156.00	90.00	5.00	47.00
156.00	90.00	5.00	47.00
156.00	90.00	4.50	46.50
156.00	90.00	3.50	46.50
156.00	90.00	70.00	46.10
155.00	90.00	36.00	46.00
155.00	90.00	30.00	46.00
155.00	90.00	40.00	46.00
155.00	90.00	28.00	46.00
155.00	90.00	41.00	46.00
155.00	90.00	8.00	46.00
155.00	90.00	14.00	46.00
155.00	90.00	16.00	46.00
154.00	89.50	62.00	46.00
154.00	89.50	35.00	46.00
154.00	89.50	46.00	46.00
154.00	89.50	24.00	46.00
154.00	89.50	13.00	46.00
154.00	89.30	29.00	46.00
154.00	89.00	37.00	46.00
154.00	89.00	156.00	46.00
154.00	89.00	50.00	46.00
153.60	89.00	24.00	46.00
153.50	89.00	44.00	46.00
153.00	89.00	40.00	46.00
153.00	89.00	4.00	46.00
153.00	89.00	50.00	46.00
153.00	89.00	30.00	46.00
152.50	89.00	59.00	46.00
152.50	89.00	24.00	46.00
152.30	89.00	9.00	46.00
152.00	89.00	24.00	46.00
152.00	89.00	40.00	46.00
152.00	89.00	20.00	46.00
152.00	89.00	56.00	46.00
152.00	89.00	16.00	46.00
152.00	89.00	8.00	46.00
151.50	89.00	32.00	46.00
151.00	89.00	32.00	46.00
151.00	89.00	8.00	46.00
151.00	89.00	12.50	46.00
151.00	89.00	20.00	46.00
151.00	89.00	20.00	46.00
151.00	88.80	12.00	46.00
150.00	88.50	50.00	46.00
150.00	88.50	26.00	46.00
150.00	88.50	16.00	46.00
150.00	88.50	80.00	46.00
150.00	88.50	48.00	46.00
150.00	88.50	34.00	46.00
150.00	88.30	40.00	46.00
150.00	88.00	34.00	46.00
150.00	88.00	38.00	46.00
150.00	88.00	20.00	46.00
150.00	88.00	24.00	46.00
150.00	88.00	13.50	45.80
150.00	88.00	8.00	45.80
150.00	88.00	80.00	45.50
150.00	88.00	65.50	45.50
149.50	88.00	15.00	45.50
149.00	88.00	53.00	45.50
149.00	88.00	8.00	45.50
149.00	88.00	25.00	45.40
148.00	88.00	54.00	45.20
148.00	88.00	8.00	45.20
148.00	88.00	24.00	45.10
148.00	88.00	115.00	45.00
148.00	88.00	35.00	45.00
148.00	88.00	26.00	45.00
147.00	88.00	12.00	45.00
147.00	88.00	14.00	45.00
147.00	88.00	28.00	45.00
147.00	88.00	12.00	45.00
147.00	88.00	244.00	45.00
146.50	88.00	9.50	45.00
146.00	88.00	30.00	45.00
146.00	88.00	11.00	45.00
146.00	88.00	20.00	45.00
146.00	88.00	18.00	45.00
146.00	88.00	8.00	45.00
146.00	88.00	10.00	45.00
146.00	88.00	8.00	45.00
146.00	88.00	15.00	45.00
146.00	88.00	50.00	45.00
146.00	88.00	68.50	45.00
146.00	88.00	18.00	45.00
145.00	88.00	104.00	45.00
145.00	88.00	31.00	45.00
145.00	88.00	145.00	45.00
145.00	88.00	13.50	45.00
145.00	88.00	22.00	45.00
145.00	88.00	11.00	45.00
145.00	88.00	27.00	45.00
145.00	88.00	44.00	45.00
145.00	88.00	20.00	45.00
145.00	88.00	18.00	45.00
145.00	88.00	20.00	45.00
145.00	88.00	20.00	45.00
145.00	88.00	10.00	45.00
145.00	88.00	20.00	45.00
144.30	88.00	18.50	45.00
144.00	88.00	21.00	45.00
144.00	88.00	32.00	45.00
144.00	88.00	24.00	45.00
144.00	88.00	3.00	45.00
144.00	88.00	26.00	45.00
144.00	88.00	40.00	45.00
144.00	88.00	48.00	45.00
144.00	88.00	55.00	45.00
144.00	88.00	27.00	45.00
144.00	88.00	15.00	45.00
144.00	88.00	35.00	45.00
144.00	88.00	13.50	45.00
144.00	88.00	6.00	45.00
144.00	88.00	14.00	45.00
144.00	88.00	14.50	45.00
144.00	88.00	24.00	45.00
144.00	88.00	44.00	45.00
143.00	88.00	6.00	45.00
143.00	88.00	144.00	45.00
143.00	88.00	39.50	45.00
143.00	88.00	44.00	45.00
143.00	88.00	35.00	45.00
142.00	88.00	53.00	45.00
142.00	88.00	16.00	45.00
142.00	88.00	14.00	45.00
142.00	88.00	17.00	45.00
142.00	87.60	33.00	45.00
142.00	87.50	36.00	45.00
142.00	87.50	47.50	45.00
142.00	87.40	79.00	45.00
142.00	87.00	32.00	45.00
142.00	87.00	80.00	45.00
142.00	87.00	20.00	45.00
142.00	87.00	50.00	45.00
141.00	87.00	357.00	45.00
141.00	87.00	18.00	45.00
141.00	87.00	108.00	45.00
141.00	87.00	17.00	45.00
141.00	87.00	35.00	45.00
141.00	87.00	54.00	45.00
141.00	87.00	46.00	45.00
140.20	87.00	275.00	45.00
140.00	87.00	18.00	45.00
140.00	87.00	25.00	45.00
140.00	87.00	19.00	45.00
