LC1	LC2	LC3	LC4	LC5
88D221	0	0	0	7.285714286	0
88D222	0	0	0	7.473684211	0
88D223	0	0	0	9.80952381	0
88D224	0	0	0	10	0
88D225	0	0	0	24	0
88D226	0	0	0	11	0
88D227	0	0	0	10	0
88D228	0	0	0	9.545454545	0
88D229	0	0	0	18.1	0
88D230	0	0	0	7.923076923	0
88D231	0	0	0	7.289655172	0
88D232	0	0	0	17.5	0
88D233	0	0	0	17.5	0
88D234	0	0	0	10	0
88D235	0	0	0	6	0
88D236	0	0	0	16.66666667	0
88D237	0	0	0	6.5	0
88D238	0	0	0	7	0
88D239	0	0	0	17.5	0
88D240	0	0	0	6.671428571	0
88D241	0	0	0	17.45454545	0
88D242	0	0	0	11.175	0
88D243	0	0	0	18.0625	0
88D244	0	0	0	7.263157895	0
88D245	0	0	0	12.02631579	0
88D246	0	0	0	12.66666667	0
88D247	0	0	0	6	0
88D248	0	0	0	6	0
88D249	0	0	0	6	0
88D250	0	0	0	19.85	0
88D251	0	0	0	12	0
88D252	0	0	0	20.84090909	0
88D253	0	0	0	12.20833333	0
88D254	0	0	0	8	0
88D255	0	0	0	6.055	0
88D256	0	0	0	8	0
88D257	0	0	0	6	0
88D258	0	0	0	7.928571429	0
88D259	0	0	0	5.944444444	0
88D260	0	0	0	21.85714286	0
88D261	0	0	0	12.28571429	0
88D262	0	0	0	21.74	0
88D263	0	0	0	22.29473684	0
88D264	0	0	0	6.05	0
88D265	0	0	0	5.6	0
88D266	0	0	0	5.947368421	0
88R451	0	0	0	16.05454545	0
96R831	0	0	0	36.38181818	0
96T800	0	0	0	54	0
99R194	0	0	0	27.01666667	0

