LC1	LC2	LC3	LC4	LC5
71R839	113.50	0.00	0.00	41.20	0.00
71R853	0.00	0.00	60.00	0.00	0.00
71R854	18.00	0.00	0.00	0.00	0.00
71V800	13.00	67.00	0.00	207.70	0.00
81R801	2.00	0.00	0.00	0.00	0.00
82008	817.60	67.00	247.00	8.00	0.00
82013	0.00	0.00	0.00	0.00	0.10
82845A	0.00	60.50	0.00	0.00	0.00
82845C	61.00	0.00	232.50	0.00	0.00
82845G	20.00	0.00	0.00	0.00	0.00
82845S	27.00	54.00	1.00	0.00	0.00
82R800	0.00	0.00	0.00	73.50	0.00
82R801	0.00	141.00	0.00	15.60	0.00
82R820	20.00	0.00	0.00	0.00	0.00
82R831	0.00	0.00	0.00	648.90	0.00
84R800	0.00	0.00	0.00	20.00	0.00
86001	6.00	0.00	0.00	0.00	0.00
86006A	454.00	112.00	172.50	21.00	0.00
86006D	0.00	0.00	740.00	0.00	0.00
86006E	26.00	52.00	392.50	0.00	0.00
86R801	0.00	0.00	0.00	9.00	0.00
88D194	0.00	0.00	0.00	297.00	0.00
88D196	0.00	0.00	0.00	191.00	0.00
88D198	0.00	0.00	0.00	50.00	0.00
88D199	0.00	0.00	0.00	89.00	0.00
88D200	0.00	0.00	0.00	142.10	0.00
88D201	0.00	0.00	0.00	77.00	0.00
88D202	0.00	0.00	0.00	225.50	0.00
88D203	0.00	0.00	0.00	136.00	0.00
88D211	0.00	0.00	0.00	109.20	0.00
88D212	0.00	0.00	0.00	77.00	0.00
88D213	0.00	0.00	0.00	336.00	0.00
88D214	0.00	0.00	0.00	288.00	0.00
88D215	0.00	0.00	0.00	200.00	0.00
88D216	0.00	0.00	0.00	76.00	0.00
88D217	0.00	0.00	0.00	384.50	0.00
88D218	0.00	0.00	0.00	295.50	0.00
88D219	0.00	0.00	0.00	179.60	0.00
88D220	0.00	0.00	0.00	192.40	0.00
88D221	0.00	0.00	0.00	102.00	0.00
88D222	0.00	0.00	0.00	142.00	0.00
88D223	0.00	0.00	0.00	206.00	0.00
88D224	0.00	0.00	0.00	200.00	0.00
88D225	0.00	0.00	0.00	120.00	0.00
88D226	0.00	0.00	0.00	220.00	0.00
88D227	0.00	0.00	0.00	200.00	0.00
88D228	0.00	0.00	0.00	105.00	0.00
