0.99	0.99	0.99	0.95	0.89	0.80
0.99	0.97	0.95	0.78	0.59	0.32
0.99	0.95	0.89	0.60	0.35	0.11
0.98	0.91	0.82	0.36	0.13	0.01
0.96	0.82	0.67	0.13	0.01	0.00
0.94	0.74	0.54	0.04	0.00	0.00
0.92	0.66	0.45	0.02	0.00	0.00
0.91	0.61	0.36	0.01	0.00	0.00
0.88	0.54	0.30	0.00	0.00	0.00
0.87	0.50	0.25	0.00	0.00	0.00
0.85	0.45	0.21	0.00	0.00	0.00
0.84	0.40	0.17	0.00	0.00	0.00
0.81	0.37	0.14	0.00	0.00	0.00
0.80	0.33	0.11	0.00	0.00	0.00
0.78	0.31	0.10	0.00	0.00	0.00
0.77	0.27	0.07	0.00	0.00	0.00
0.75	0.25	0.06	0.00	0.00	0.00
0.74	0.22	0.05	0.00	0.00	0.00
0.39	0.00	0.00	0.00	0.00	0.00
