Consignees,Number of shipments,Number of US ports,Number of shippers,Number of manufacturers,Number of sampled,Number of refused,Fraction of sampled,Fraction of refused out of sampled,Normalized weight,Fraction of weight of shipment where manufacturer is also shipper,log distance consignee US port,coef var number of manufacturers per year,coef var number of shipments per year,total weight below 10%,Product diversity,Inspected,Inspection outcome
Consignees,215,2,31,30,32,0,0.148837209,0,0.082076905,0.496272905,1.283058612,0,0,0,0,0,0
Consignees,213,4,19,16,45,0,0.211267606,0,59.72394352,0.999796199,3.549891439,0.415699423,0.581835006,0,0,0,0
Consignees,213,3,6,6,4,0,0.018779343,0,0.035768861,0.088569077,3.209487519,0.559016994,1.138751726,0,1.209703833,0,0
Consignees,212,1,14,14,21,0,0.099056604,0,84.54884051,1,1.537073335,0.620632891,0.776875957,0,0,0,0
Consignees,211,2,4,3,0,0,0,0,0.006221996,0.978237336,3.501743788,0.433012702,1.033751307,0,0,0,0
Consignees,210,3,7,6,0,0,0,0,0.018380571,1,3.2335012,0.707106781,1.171776952,0,0,0,0
Consignees,210,3,3,3,8,0,0.038095238,0,0.012909447,1,2.660106922,0.40824829,0.402711895,0,0,0,0
Consignees,210,3,3,2,2,0,0.00952381,0,0.014351558,0.051905485,3.612179649,0.433012702,0.44423748,0,0,0,0
Consignees,209,3,2,3,62,25,0.296650718,0.403225806,0.023791889,0.998989444,3.292827722,0.707106781,0.236830022,0,0,1,0
Consignees,207,2,3,3,3,3,0.014492754,1,0.025923142,1,1.775571455,0.391230398,0.405480668,0,0.143863264,0,0
Consignees,207,1,2,2,112,0,0.541062802,0,12.05799037,1,1.248098311,0.375,0.362463739,0,0,1,0
