"","inspection_model","feature","feature","feature","feature","feature","feature","feature"
"","significant feature","Number.of.US.ports","Number.of.manufacturers","Fraction.of.sampled","Normalized.weight","Fraction.of.weight.of.shipment.where.manufacturer.is.also.shipper","coef.var.number.of.shipments.per.year","Product.diversity"
"5%","sign","-1","-1","-1","-1","-1","-1","-1"
