"","Consignees","Number.of.shipments","Number.of.US.ports","Number.of.shippers","Number.of.manufacturers","Number.of.sampled","Number.of.refused","Fraction.of.sampled","Fraction.of.refused.out.of.sampled","Normalized.weight","Fraction.of.weight.of.shipment.where.manufacturer.is.also.shipper","log.distance.consignee.US.port","coef.var.number.of.manufacturers.per.year","coef.var.number.of.shipments.per.year","total.weight.below.10.","Product.diversity","Inspected","Inspection.outcome","inspection_score","risk_score"
"30","Consignees",6295,18,133,109,483,102,0.076727562,0.211180124,0.069297156,0.86144144,2.12755499,0.329268293,0.564661571,0,0,0,0,3.17260733117116e-12,0.750559445918704
"31","Consignees",6165,8,184,169,426,21,0.069099757,0.049295775,0.095367406,0.945705399,2.642894783,0.673662421,0.762986745,0,0,0,0,1.7562329315165e-22,0.0854103084190366
"32","Consignees",6063,5,64,53,83,1,0.013689593,0.012048193,0.013032167,0.463306271,1.42317719,0.548290833,0.756706625,0,0,0,0,3.17358654528991e-08,0.261357318014388
"33","Consignees",5968,16,115,102,1048,66,0.175603217,0.062977099,0.265696531,0.906533889,2.410901283,0.205802795,0.545319886,0,0.879836593,0,0,1.25424593316499e-11,0.780702113776465
"34","Consignees",5912,8,15,8,2397,60,0.405446549,0.025031289,0.118664523,0.495729755,3.105696353,0.40459117,0.933524288,0,0,1,1,0.198016015321084,0.983972925700904
"35","Consignees",5690,11,15,15,308,0,0.054130053,0,0.011073181,0.989944889,2.75047957,0.651724557,0.361761522,0,0,0,0,0.0666532465169769,0.936610472093488
"36","Consignees",5676,5,155,141,605,13,0.106589147,0.021487603,0.055129259,0.984611893,1.461348342,0.38745793,0.264561679,0,0,1,0,6.35642921233634e-20,0.0395084769524535
"37","Consignees",5557,4,167,153,324,27,0.058304841,0.083333333,0.013066682,0.693996821,1.093512313,0.275943728,0.485591042,0,0,0,0,1.11784547027126e-21,0.0430794508290754
"38","Consignees",5547,14,74,54,417,35,0.075175771,0.083932854,0.319483014,0.129797448,2.491644553,0.41809974,0.305396314,0,0,0,0,1.8531982143577e-05,0.860129231179341
"39","Consignees",5424,1,43,36,3515,100,0.648045723,0.028449502,0.028743447,0.617026892,0.709968839,0.592787285,0.705207333,0,2.532426208,1,0,4.24564479184317e-06,0.787810560803584
"40","Consignees",5200,1,179,159,422,75,0.081153846,0.177725118,0.019619216,0.760704419,0.281070574,0.12592716,0.129259812,0,0,0,0,2.67639922073966e-23,0.027295747604515
"41","Consignees",5128,9,169,153,210,0,0.040951638,0,0.029086694,0.358834233,3.107398691,0.066151624,0.577918538,0,3.222793922,1,1,2.62281152498116e-20,0.521846177156088
"42","Consignees",5038,14,64,58,504,21,0.100039698,0.041666667,0.031250313,0.848474249,2.898301255,0.180157838,0.499329869,0,0.797867503,0,0,7.15071986993779e-07,0.86399236575329
"43","Consignees",5027,14,81,74,257,13,0.051123931,0.050583658,0.058737048,0.837576418,2.436418607,0.56912408,0.835644203,0,0.340122401,1,0,1.21377602629503e-08,0.795573661400293
"44","Consignees",4823,16,94,89,366,29,0.075886378,0.079234973,0.167411285,0.771671064,2.947617254,0.253361409,0.234551459,0,0,1,0,3.63620313294728e-10,0.765978178855822
"45","Consignees",4681,2,56,54,397,6,0.084810938,0.01511335,0.003342039,0.997290774,1.376662754,0.947105038,1.326048722,0,0,0,0,5.48700599018948e-09,0.0478172888279468
"46","Consignees",4517,1,117,108,301,41,0.066637149,0.136212625,0.017794974,0.814283128,0.008936119,0.143311408,0.423419939,0,0,0,0,1.09406087474162e-16,0.0221049188712025
"48","Consignees",4486,16,121,105,486,27,0.108337049,0.055555556,0.774306266,0.992777105,3.267117087,0.296798206,0.667893263,0,0,1,1,1.49646538706105e-11,0.727104445539928
"49","Consignees",4383,2,78,71,182,20,0.04152407,0.10989011,0.017052184,0.881977667,0.612517497,0.260053759,0.28309549,0,1.821075305,0,0,1.09290468286403e-11,0.315349744310613
"50","Consignees",4246,11,25,22,445,38,0.104804522,0.085393258,0.055305681,0.966877518,3.294612958,0.495452384,0.678619685,0,2.65555569,1,1,0.0119373828329898,0.999744862698269
"51","Consignees",4197,10,86,73,267,14,0.063616869,0.052434457,0.374910008,0.995200436,3.13713662,1.052299654,1.545228214,0,0,0,0,6.46757105001983e-09,0.715096170208119
"52","Consignees",3995,17,120,112,420,17,0.105131414,0.04047619,0.04030659,0.904094547,3.044648983,0.414229096,0.431842626,0,0,0,0,6.71936741520183e-13,0.72697122394076
"53","Consignees",3891,3,55,44,70,0,0.017990234,0,0.011149655,0.84908534,1.846242116,0.629990407,1.066753319,0,3.421661642,0,0,1.30081252647459e-07,0.881593016187727
"54","Consignees",3886,11,98,86,493,32,0.126865672,0.064908722,1.340887228,0.999332171,3.202794584,0.463314189,0.308023984,0,0.690424201,0,0,9.79785060707525e-10,0.72691754962206
"55","Consignees",3843,4,59,53,273,3,0.071038251,0.010989011,0.016151537,0.941822023,1.439383109,0.266913677,0.373881188,0,0,0,0,5.69415238631662e-09,0.0506897237378162
"56","Consignees",3800,8,121,107,231,11,0.060789474,0.047619048,0.206852457,0.395260385,2.303826718,0.589219919,0.586392592,0,3.504291927,0,0,5.02736275469574e-14,0.783085899368462
"57","Consignees",3726,8,139,125,334,32,0.089640365,0.095808383,0.093914504,0.983243781,3.233439421,0.370527635,0.533426913,0,3.235478438,0,0,5.10465441518202e-17,0.614003334085881
"58","Consignees",3705,12,48,41,616,10,0.166261808,0.016233766,0.022156116,0.898849641,2.736679517,0.346944333,0.411291001,0,0.115993579,1,1,4.99570374305603e-05,0.876444320353161
"59","Consignees",3531,2,17,15,27,3,0.007646559,0.111111111,0.006415947,1,2.529585599,0.282842712,0.65909197,0,0,0,0,0.000167396857813659,0.407364001281691
"60","Consignees",3494,12,56,49,159,2,0.045506583,0.012578616,7.736682004,0.999760769,2.948453741,0.164846945,0.851611464,0,2.309600797,0,0,0.0956993274304844,0.951257292362124
"61","Consignees",3368,17,75,65,719,49,0.21347981,0.068150209,0.494309112,0.993224634,2.93832174,1.013279179,1.030369442,0,0.027559491,0,0,1.08105486487488e-05,0.84891661442695
"62","Consignees",3348,2,11,7,110,0,0.032855436,0,0.005333879,0.799629061,3.229523239,0.666666667,0.825491126,0,0,0,0,0.0127183580701128,0.71968842960425
"63","Consignees",3342,10,86,74,441,24,0.131956912,0.054421769,9.624846434,0.99980103,2.808655807,0.263703578,0.296929767,0,0,0,0,0.03894687394044,0.449015428318072
"64","Consignees",3294,5,23,21,172,4,0.052216151,0.023255814,0.013589009,0.945165134,1.932007257,0.375,0.602316502,0,0,0,0,0.000232817471108908,0.611140702283145
"65","Consignees",3246,3,183,164,166,15,0.051139864,0.090361446,0.024734364,0.542967237,0.960325095,0.193260704,0.253140787,0,0,0,0,2.4479281939588e-23,0.0367467512579119
"66","Consignees",3182,8,145,133,354,0,0.111250786,0,0.017656392,0.801061347,2.083768769,0.767951258,1.104744892,0,2.860642914,0,0,1.42173263642846e-17,0.506502702272034
"67","Consignees",3135,15,65,57,341,23,0.10877193,0.06744868,0.074724251,0.820315276,3.40249922,0.569950656,0.91030478,0,3.011128592,0,0,5.12935053947376e-06,0.959075313052747
"68","Consignees",3027,5,26,21,73,0,0.024116287,0,0.028981621,0.99864504,1.95703393,0.375,0.591839253,0,0.586760844,0,0,0.000208481797879899,0.846870750044513
"69","Consignees",3006,3,50,50,192,3,0.063872255,0.015625,0.007156708,0.89036723,1.046216532,0.417090514,0.378475958,0,0,0,0,1.07887171018788e-08,0.0335404543227605
"70","Consignees",2975,15,66,60,332,27,0.111596639,0.081325301,0.052436339,0.926703153,3.172461939,0.385016049,0.893511958,0,0,0,0,1.10620440827198e-06,0.83538903559424
"71","Consignees",2822,6,101,91,215,15,0.076187101,0.069767442,0.02877788,0.745423599,3.399756206,0.245590109,0.362011272,0,0,0,0,2.60512567530757e-13,0.104338425299089
"72","Consignees",2810,3,17,13,78,5,0.027758007,0.064102564,0.020643915,0.957753653,1.7411667,0.28723278,0.489246743,0,0,0,0,0.000861829344512228,0.477282463595552
"73","Consignees",2782,1,56,49,38,1,0.013659238,0.026315789,0.015879766,0.568720075,0.385414277,1.056400624,1.003457629,0,0,1,1,2.76996361764616e-08,0.0501059861049732
"74","Consignees",2557,9,52,45,270,4,0.105592491,0.014814815,0.019149474,0.993785198,3.289275856,0.357366002,0.57283979,0,0,0,0,1.50387259849562e-06,0.696682470868263
"75","Consignees",2521,18,6,4,40,0,0.01586672,0,0.94137076,0.999966854,3.397959944,0.375,0.75954561,0,0,0,0,0.720861315165608,0.999056026313034
"76","Consignees",2513,17,18,13,216,0,0.085953044,0,0.023781627,0.923789483,3.087533352,0.735597048,0.917797478,0,0,0,0,0.208830741725327,0.998840335847808
"77","Consignees",2473,3,46,43,247,51,0.09987869,0.206477733,0.166671052,0.994485941,1.753703312,0.216301617,0.566411236,0,0,0,0,8.94311941513895e-08,0.044717899882988
"78","Consignees",2461,11,78,65,217,12,0.088175538,0.055299539,0.029493935,0.657420903,3.398784035,0.776851686,0.988631494,0,0,0,0,4.85039122241509e-08,0.778737178353029
"79","Consignees",2450,1,61,52,155,12,0.063265306,0.077419355,0.017158482,0.238760373,1.387343765,0.322748612,0.374550978,0,0,0,0,4.1072966547704e-09,0.0485281960296205
"80","Consignees",2431,6,40,37,237,14,0.097490745,0.05907173,0.018742573,0.961238033,3.562433239,0.629321792,0.938505311,0,0,0,0,4.47761941461355e-06,0.657296402252244
"81","Consignees",2399,13,60,57,331,6,0.137974156,0.018126888,0.121736005,0.997673328,2.528334803,1.30318569,1.363687169,0,0,0,0,5.03514163769299e-06,0.814530346366223
"82","Consignees",2339,5,10,9,32,0,0.01368106,0,0.182567373,0.99898874,2.314123933,0.596284794,1.185334391,0,0,0,0,0.0408732363730905,0.840379286646374
