consignee,numManufacturers,numImporters,frac of KG shipped when manu equals shipper,normalizedWeight,numUSports,consignee inexperienced,avg dist manu - place of receipt,avg dist place of receipt - foreign port,transnatl manu - place of receipt,transnatl place of receipt - foreign port,distance consignee - US port,shipment variation,manufacturer variation,manufacturer dispersion,chineseShipments,numSampled,numRefused,inspected prior to 2009,inspected in 2009,bad inspection in 2009
Lawrence Wholesale Llc,1,1,0.0,0.47778203956821286,1,0.0,2.5284609874895176,3.2935620533313807,1.0,1.0,3.6389369983351236,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruby Pacific Llc,1,1,0.0,0.925722609307827,1,0.0,2.8183976163790962,3.863759605118659,0.0,1.0,3.926188049107206,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tri-Union Frozen Foods Inc,2,2,0.0,1.2553700929494458,2,0.0,1.930606415160427,0.0,0.0,1.0,4.065978798428002,0.47140923481266955,0.0031622776601683794,0.6829241127124162,0.0,0.0,0.0,0.0,0.0,0.0
"Expack Seafood, Inc.",3,2,1.0,0.6529558692339136,2,0.0,2.493933288374987,1.1424028523677285,0.0,1.0,3.776701183988411,0.47140923481266955,0.47140923481266955,0.6482802160027419,0.0,0.3010299956639812,0.0,1.0,0.0,0.0
Seajoy Seafood Corporation,1,1,1.0,0.41805927090696443,1,0.0,0.0,3.9635211583235717,1.0,1.0,3.5809450371095886,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Contessa Premium Foods, Inc.",2,1,0.3115916356658047,0.5915150761659366,1,0.0,1.193222222473023,2.499392629123297,0.0,1.0,3.7371121396366975,0.0031622776601683794,0.0031622776601683794,0.620368246700453,0.0,0.0,0.0,1.0,0.0,0.0
Ocean Bistro Corp,6,1,1.0,0.801054231735827,2,0.0,1.5431407987568684,3.328496877720289,0.25,1.0,3.8724072107891785,0.28284341958051634,7.905694150420948e-4,1.0955790177916342,0.6,0.6020599913279624,0.0,0.0,0.0,0.0
Ocean Duke Corp,1,1,0.0,1.594597407562993,1,0.0,NaN,NaN,0.0,1.0,4.162358231991993,0.0,0.0,-0.0,1.0,0.3010299956639812,0.0,0.0,0.0,0.0
Colorado Boxed Beef Co.,1,1,NA,NaN,1,NA,1.6378010815490882,3.1340084549497296,0.0,1.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pioneer Seafood Trading Company Llc,1,1,0.0,1.119801610663528,1,0.0,NaN,NaN,0.0,1.0,4.008848266119529,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
G & L Seafood Inc,1,1,0.0,0.023889063575789654,1,1.0,2.8183976163790962,3.863759605118659,0.0,1.0,2.3379063045260295,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"World Wide Food Products, Inc.",1,1,1.0,1.9977260685959761,1,0.0,NaN,NaN,0.0,1.0,4.260243115110105,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0
Seafood Sales Inc.,2,1,0.7826086810658239,1.1347463935902706,1,0.0,2.1131753240418076,3.292925179999387,1.0,1.0,4.018393576162598,0.0031622776601683794,0.0031622776601683794,0.5235863561654086,0.0,0.0,0.0,0.0,0.0,0.0
"Family Delight Foods, Inc",1,1,NA,NaN,1,NA,NaN,NaN,0.0,1.0,NaN,0.0,0.0,0.0,1.0,0.3010299956639812,0.3010299956639812,0.0,0.0,0.0
"The Seafood Exchange Of Florida, Inc.",1,1,1.0,0.9106226987361851,2,0.0,1.847481934510024,0.0,0.0,1.0,3.9190456498898,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sahlman Seafoods, Inc.",1,1,1.0,0.09207258797086948,1,1.0,1.3987728717442045,2.5294480076060952,0.0,1.0,2.923837528740572,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hanwa American Corp,1,1,1.0,0.14731607492032664,1,0.0,2.1131753240418076,3.292925179999387,0.0,1.0,3.1279573173176747,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0
Harvest Valley Inc.,1,1,1.0,0.03583370508545873,1,1.0,2.0059548880421314,3.459147585389728,0.0,1.0,2.513998893380958,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
all harvest trading LLC,1,1,1.0,0.398151681353215,1,0.0,NaN,NaN,0.0,1.0,3.559755732340511,0.0,0.0,-0.0,0.0,0.3010299956639812,0.3010299956639812,0.0,1.0,1.0
"L & N Trading, Inc",1,1,1.0,21.361512784274296,1,0.0,NaN,NaN,0.0,0.0,5.289339183700867,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rubicon Resources, Llc",2,2,1.0,0.8668303223560359,1,0.0,2.5558986775043535,3.5383969365008845,0.0,0.0,3.8991088581933995,0.0031622776601683794,0.0031622776601683794,0.2895250015213002,0.0,0.0,0.0,0.0,0.0,0.0
"Torry Harris, Inc.",2,2,0.5402298866756379,1.9126719051805425,2,0.0,2.5284609874895176,3.2935620533313807,0.0,1.0,4.249397499973042,0.0031622776601683794,0.0031622776601683794,0.6899067914404042,0.0,0.0,0.0,1.0,1.0,0.0
"High Liner Foods, Inc.",1,1,1.0,0.7241637100191607,1,0.0,2.8892856549768764,3.5666570274980907,0.0,1.0,3.8195439355418688,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunnywell Seafood Trading Company Co.,1,1,1.0,0.7330968179911183,1,0.0,NaN,NaN,0.0,1.0,3.8248685127475643,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"La Gloria Shrimp Imports, Llc",1,1,1.0,0.4976896291219623,1,0.0,1.930598931279384,3.240020269092739,0.0,1.0,3.6566657692849525,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arista Industries, Inc.",1,1,1.0,1.194455044059645,1,0.0,1.1786042204936416,3.1396910165923737,NaN,NaN,4.0368769870601735,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pacific American Fish Co Inc,1,1,0.0,1.853396071761736,1,0.0,3.9243946660976023,3.9878444829796833,NaN,NaN,4.2276754165009045,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Nongshim America, Inc.",1,1,1.0,0.03703109880779799,1,1.0,NaN,NaN,NaN,NaN,2.5282737771670436,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPN Seafood Corporation,1,1,1.0,0.6211166404664993,1,0.0,2.386444444946046,3.182315776245028,NaN,NaN,3.752880342970042,0.0,0.0,-0.0,0.0,0.3010299956639812,0.3010299956639812,0.0,0.0,0.0
Eastland Food Corporation,1,1,1.0,0.07839074510652087,1,1.0,1.4705873723976446,3.3645937353871815,NaN,NaN,2.8716750761337577,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0
Capital Seafood Llc,1,1,0.0,0.11945256898799025,1,0.0,NaN,NaN,NaN,NaN,3.05460577795699,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darik Enterprises Incorporated,1,1,1.0,0.09795106232771852,1,0.0,2.347305514215591,3.173226255269534,NaN,NaN,2.968419434179073,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0
IMAEX Trading Co Inc DBA  A&D Foods,1,1,0.0,1.1467445990812302,1,0.0,2.8183976163790962,3.863759605118659,NaN,NaN,4.0368769870601735,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Slade Gorton & Company, Inc.",2,2,1.0,0.8055689151903835,1,0.0,0.923740967255012,1.8753270475351322,NaN,NaN,3.8835129832584894,0.0,0.0,0.34714029256782647,0.0,0.0,0.0,0.0,0.0,0.0
"Preferred Freezer Services Houston Port, LLC.",1,1,1.0,1.4549322291770275,1,0.0,2.6235380899844003,2.9918951843354056,NaN,NaN,4.140253048016601,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Preferred Freezer Services,2,2,0.766682206015554,1.023947354790724,1,0.0,0.6724117233613427,3.4256002924449014,NaN,NaN,3.987687912090112,0.0,0.0,0.5432542953001244,0.0,0.0,0.0,0.0,0.0,0.0
Showa Marine Inc.,4,1,0.8461026418711383,0.1508901098325785,1,0.0,NaN,NaN,NaN,NaN,3.156071058344594,0.0,0.0,0.6432399878967036,0.0,0.0,0.0,0.0,0.0,0.0
Seattle Fish Company of New Mexico,1,1,1.0,0.09556207625821768,1,1.0,1.653819182690491,3.2355160805815055,NaN,NaN,2.9576958606944608,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPI Fisheries Inc.,2,1,1.0,0.1421700051954311,2,0.0,2.2593880846796455,3.4020494891869486,NaN,NaN,3.1302182629741444,0.0,0.0,0.4530091812671372,0.0,0.0,0.0,1.0,0.0,0.0
"National Fish & Seafood, Inc.",1,1,1.0,1.7128824707022656,2,0.0,1.6317347672026106,3.196095283962563,NaN,NaN,4.211137848589952,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlantis Seafood LLC dba Sea Catch,2,2,1.0,0.328733429966533,1,0.0,0.0,3.7506540950702645,NaN,NaN,3.494254154823304,0.0,0.0,0.6926663601738634,0.0,0.0,0.0,0.0,0.0,0.0
"OFI International, Inc",1,1,1.0,0.10750732262310396,1,0.0,NaN,NaN,NaN,NaN,3.008848329949885,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Preferred Freezer Services Of Vernon,1,1,0.0,0.2866861234355257,1,0.0,0.0,3.4615111619592156,NaN,NaN,3.434816955838233,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mv & Sons Texas LP,1,1,1.0,0.1280531927199244,1,0.0,NaN,NaN,NaN,NaN,3.084800694785206,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0
Los Angeles Cold Storage,2,2,1.0,0.24368321545410956,1,0.0,1.653819182690491,3.2355160805815055,NaN,NaN,3.364235900326163,0.0,0.0,0.6057974882415178,0.0,0.0,0.0,0.0,0.0,0.0
