"","inspection_model","feature","feature","feature","feature","feature","feature","feature"
"","significant feature","Fraction.of.sampled","Normalized.weight","Fraction.of.weight.of.shipment.where.manufacturer.is.also.shipper","log.distance.consignee.US.port","coef.var.number.of.manufacturers.per.year","coef.var.number.of.shipments.per.year","total.weight.below.10."
"5%","sign","-1","-1","-1","-1","-1","-1","-1"
