PAC	Operation_Code	Count_of_Operations	Sum_of_Hours	percent_hours
07842H	83	1	2.00	0.00
07847	12	1	2.00	0.00
09808	84	4	2.00	0.00
09842H	13	1	2.00	0.00
09F800	14	1	2.00	0.00
18029E	31	1	2.00	0.00
18F800	84	2	2.00	0.00
21002	13	1	2.00	0.00
21008	95	1	2.00	0.00
21008X	14	1	2.00	0.00
21844	31	1	2.00	0.00
21844	84	1	2.00	0.00
29R801	17	1	2.00	0.00
41B800	14	1	2.00	0.00
42007	92	1	2.00	0.00
45R800	13	1	2.00	0.00
46R825	12	1	2.00	0.00
48D800	95	1	2.00	0.00
56002A	95	1	2.00	0.00
56002E	95	1	2.00	0.00
56008L	83	1	2.00	0.00
56014A	84	1	2.00	0.00
56843	13	1	2.00	0.00
56R010	83	1	2.00	0.00
56R831	31	1	2.00	0.00
61R800	17	1	2.00	0.00
68001	13	1	2.00	0.00
71004	02	2	2.00	0.00
71006	01	1	2.00	0.00
71R801	84	1	2.00	0.00
71R853	14	2	2.00	0.00
71R875	17	1	2.00	0.00
71S800	13	1	2.00	0.00
81845T	84	1	2.00	0.00
81R801	41	1	2.00	0.00
82008	17	3	2.00	0.00
82009	83	1	2.00	0.00
82845P	12	1	2.00	0.00
82R816	95	1	2.00	0.00
83001A	13	1	2.00	0.00
84R803	84	2	2.00	0.00
84R816	83	1	2.00	0.00
86007	31	1	2.00	0.00
86008	96	1	2.00	0.00
99R800	18	1	2.00	0.00
07819	52	4	2.10	0.00
71S800	12	2	2.10	0.00
71003E	53	4	2.30	0.00
71003K	21	18	2.30	0.00
03819	14	1	2.50	0.00
03819	17	1	2.50	0.00
03847H	33	1	2.50	0.00
04019B	52	4	2.50	0.00
04R801	92	1	2.50	0.00
09006A	02	1	2.50	0.00
09847H	11	5	2.50	0.00
18F800	31	1	2.50	0.00
21R845	52	8	2.50	0.00
46R873	84	1	2.50	0.00
52832C	21	3	2.50	0.00
56008H	53	1	2.50	0.00
56008H	95	1	2.50	0.00
71002	17	1	2.50	0.00
71003B	92	1	2.50	0.00
82845G	15	1	2.50	0.00
82R801	17	1	2.50	0.00
84Z800	84	2	2.50	0.00
88D225	31	5	2.50	0.00
88R046	83	1	2.50	0.00
88R845	86	1	2.50	0.00
03003A	41	3	2.60	0.00
71004	53	9	2.80	0.00
