PAC	Operation_Code	Count_of_Operations	Sum_of_Hours	percent_hours
09842F	41	1	13.00	0.00
18R834	84	2	13.00	0.00
42002F	86	2	13.00	0.00
63R831	13	2	13.00	0.00
82845S	92	3	13.00	0.00
82R320	84	5	13.00	0.00
86Z800	92	3	13.00	0.00
88D190	31	26	13.00	0.00
99R003	83	4	13.00	0.00
03037D	92	3	13.50	0.00
29F800	14	4	13.50	0.00
42001G	83	3	13.50	0.00
71009	53	19	13.50	0.00
81R800	33	5	13.50	0.00
82008	95	2	13.50	0.00
82Z002	41	2	13.50	0.00
84R800	43	2	13.50	0.00
88D152	31	27	13.50	0.00
88D162	31	27	13.50	0.00
88D254	31	27	13.50	0.00
03R831	03	1	13.60	0.00
03S002	53	63	13.90	0.00
03819	01	5	14.00	0.00
03819A	41	3	14.00	0.00
03844H	92	3	14.00	0.00
03844U	12	1	14.00	0.00
03C001	84	1	14.00	0.00
03R824	95	4	14.00	0.00
09006B	83	2	14.00	0.00
09842E	11	1	14.00	0.00
21R831	31	7	14.00	0.00
52832B	31	2	14.00	0.00
63R801	92	9	14.00	0.00
71003C	13	4	14.00	0.00
71R811	14	4	14.00	0.00
82R833	95	1	14.00	0.00
85014F	12	2	14.00	0.00
86006D	31	7	14.00	0.00
88D153	31	28	14.00	0.00
88D213	31	28	14.00	0.00
98808	92	2	14.00	0.00
03R839	21	10	14.20	0.00
63001A	14	15	14.20	0.00
03844C	92	6	14.50	0.00
21R801	17	4	14.50	0.00
56R052	84	2	14.50	0.00
82Z003	21	12	14.50	0.00
88D231	31	29	14.50	0.00
71002	21	27	14.70	0.00
82Z003	52	12	14.80	0.00
03844	18	1	15.00	0.00
03F109	31	1	15.00	0.00
03F860	95	1	15.00	0.00
03R050	17	4	15.00	0.00
03R233	83	2	15.00	0.00
04R859	33	7	15.00	0.00
09R845	92	1	15.00	0.00
29F800	84	1	15.00	0.00
41002C	84	4	15.00	0.00
42001H	31	2	15.00	0.00
45811	13	1	15.00	0.00
45848F	31	2	15.00	0.00
56002F	83	3	15.00	0.00
56R803	41	3	15.00	0.00
83R800	12	1	15.00	0.00
86006B	92	1	15.00	0.00
88R834	86	1	15.00	0.00
98R800	01	1	15.00	0.00
56014A	31	2	15.50	0.00
71S006	92	3	15.50	0.00
82R814	17	23	15.50	0.00
88D188	31	31	15.50	0.00
71S011	53	135	15.80	0.00
56014A	52	79	15.90	0.00
03037D	17	1	16.00	0.00
03842H	96	1	16.00	0.00
03F100	84	5	16.00	0.00
03F836	83	1	16.00	0.00
03F860	86	1	16.00	0.00
03R814	84	1	16.00	0.00
03R876	12	2	16.00	0.00
03S003	83	1	16.00	0.00
04019U	84	2	16.00	0.00
07844	13	1	16.00	0.00
07R800	14	4	16.00	0.00
18004	86	2	16.00	0.00
41848C	84	1	16.00	0.00
48810	83	1	16.00	0.00
48D800	84	1	16.00	0.00
52832	13	5	16.00	0.00
56002C	31	2	16.00	0.00
56002F	84	5	16.00	0.00
56002Q	31	1	16.00	0.00
56R874	84	2	16.00	0.00
58R800	02	1	16.00	0.00
68R800	83	2	16.00	0.00
68R801	13	1	16.00	0.00
71003C	14	2	16.00	0.00
71R816	86	1	16.00	0.00
71R845	13	1	16.00	0.00
71V800	13	2	16.00	0.00
82R816	84	2	16.00	0.00
86R845	84	1	16.00	0.00
88R046	84	2	16.00	0.00
68R800	14	3	16.20	0.00
56002P	84	6	16.30	0.00
03819B	92	9	16.50	0.00
21R831	92	3	16.50	0.00
29R829	13	2	16.50	0.00
52R800	18	4	16.50	0.00
88D192	31	33	16.50	0.00
71R843	92	3	16.70	0.00
03R876	84	3	17.00	0.00
04019C	13	3	17.00	0.00
04R853	13	1	17.00	0.00
07847	31	4	17.00	0.00
53001B	13	2	17.00	0.00
63R800	43	1	17.00	0.00
68V800	13	2	17.00	0.00
68V800	31	1	17.00	0.00
82Z002	14	2	17.00	0.00
86R800	02	3	17.00	0.00
03R267	92	4	17.50	0.00
04R854	84	2	17.50	0.00
07001	02	2	17.50	0.00
46832	86	8	17.50	0.00
88D217	31	35	17.50	0.00
99R876	83	4	17.50	0.00
03842H	53	25	18.00	0.00
03F100	83	4	18.00	0.00
03R257	92	5	18.00	0.00
03R800	96	2	18.00	0.00
03R824	84	8	18.00	0.00
07R801	83	2	18.00	0.00
18029E	95	3	18.00	0.00
21R846	13	2	18.00	0.00
42R800	41	2	18.00	0.00
46832M	13	1	18.00	0.00
46R801	31	1	18.00	0.00
58D800	41	1	18.00	0.00
71R853	17	4	18.00	0.00
71R854	41	2	18.00	0.00
71V022	13	3	18.00	0.00
85014F	92	2	18.00	0.00
03003	13	4	18.10	0.00
29R845	21	12	18.50	0.00
56002E	83	4	18.50	0.00
86R800	33	7	18.50	0.00
21844	52	31	18.70	0.00
29C001	31	2	18.70	0.00
03803E	31	5	19.00	0.00
03C001	17	2	19.00	0.00
04842H	13	12	19.00	0.00
09842H	12	7	19.00	0.00
29R829	31	4	19.00	0.00
41R800	13	3	19.00	0.00
45809	13	2	19.00	0.00
68808G	83	1	19.00	0.00
71S004	13	5	19.00	0.00
82Z800	13	1	19.00	0.00
03844B	84	18	19.50	0.00
09R800	33	13	19.50	0.00
09R800	95	4	19.50	0.00
21844	41	1	19.50	0.00
42R258	84	3	19.50	0.00
03037	53	25	20.00	0.00
03803	41	5	20.00	0.00
03842H	18	1	20.00	0.00
03844D	12	1	20.00	0.00
03F800	43	1	20.00	0.00
03R803	86	1	20.00	0.00
04F800	12	1	20.00	0.00
09R800	17	7	20.00	0.00
09R831	92	3	20.00	0.00
18002	12	1	20.00	0.00
18029A	95	1	20.00	0.00
21006	13	1	20.00	0.00
21R831	13	1	20.00	0.00
29001	15	1	20.00	0.00
29C001	41	2	20.00	0.00
42002F	31	1	20.00	0.00
42008A	12	1	20.00	0.00
46832C	41	2	20.00	0.00
48001E	41	1	20.00	0.00
48809A	84	1	20.00	0.00
56002	02	3	20.00	0.00
56008A	43	1	20.00	0.00
56818	84	4	20.00	0.00
56R838	31	5	20.00	0.00
56R841	13	1	20.00	0.00
58R800	31	1	20.00	0.00
61D800	17	2	20.00	0.00
61R800	12	1	20.00	0.00
63R800	33	9	20.00	0.00
71006M	12	1	20.00	0.00
81R800	41	1	20.00	0.00
81R831	13	1	20.00	0.00
82A001	17	1	20.00	0.00
82R816	92	1	20.00	0.00
82R820	41	1	20.00	0.00
82R845	92	1	20.00	0.00
84R800	41	1	20.00	0.00
86006	12	1	20.00	0.00
86006D	83	1	20.00	0.00
86R800	31	1	20.00	0.00
86R800	41	1	20.00	0.00
86R803	01	1	20.00	0.00
98R800	13	2	20.00	0.00
09R845	53	24	20.50	0.00
63001A	92	8	20.50	0.00
71004	83	5	20.50	0.00
85014C	12	3	20.50	0.00
88D197	31	41	20.50	0.00
71R833	52	44	20.70	0.00
03R820	13	1	21.00	0.00
04803	53	5	21.00	0.00
48811F	92	2	21.00	0.00
63001A	84	2	21.00	0.00
86006A	01	3	21.00	0.00
52832B	21	20	21.40	0.00
56008X	21	41	21.50	0.00
03R839	52	128	21.90	0.00
03803	95	5	22.00	0.00
03844	02	3	22.00	0.00
03R820	31	2	22.00	0.00
04R814	13	3	22.00	0.00
04R845	01	4	22.00	0.00
04R858	12	2	22.00	0.00
04R859	43	4	22.00	0.00
09842E	41	2	22.00	0.00
18004	01	1	22.00	0.00
21003	13	1	22.00	0.00
42001P	13	1	22.00	0.00
42002F	13	3	22.00	0.00
56002F	13	4	22.00	0.00
56002P	13	3	22.00	0.00
56008X	33	16	22.00	0.00
68R800	17	7	22.00	0.00
85014	13	2	22.00	0.00
86008	83	2	22.00	0.00
86R834	92	2	22.00	0.00
99R004	92	9	22.20	0.00
09811	84	1	22.50	0.00
83811	92	5	22.50	0.00
82845H	92	4	22.80	0.00
03037	83	5	23.00	0.00
03803A	18	1	23.00	0.00
03R836	84	2	23.00	0.00
04R845	14	3	23.00	0.00
46R800	31	4	23.00	0.00
56D017	92	3	23.00	0.00
56D800	31	3	23.00	0.00
63D012	92	3	23.00	0.00
68V800	41	1	23.00	0.00
71S006	13	4	23.00	0.00
86001	13	7	23.00	0.00
03F110	13	2	23.50	0.00
03F844	41	3	23.50	0.00
21842	92	7	23.90	0.00
03037D	84	2	24.00	0.00
03F800	86	3	24.00	0.00
03R233	95	1	24.00	0.00
03R833	86	1	24.00	0.00
04R803	92	1	24.00	0.00
04R814	31	8	24.00	0.00
04R845	84	1	24.00	0.00
09811	12	2	24.00	0.00
09F800	92	1	24.00	0.00
09R801	31	2	24.00	0.00
09R803	92	1	24.00	0.00
18029D	95	1	24.00	0.00
21004	01	1	24.00	0.00
21006	14	1	24.00	0.00
41002B	95	3	24.00	0.00
41002D	41	1	24.00	0.00
42002A	13	1	24.00	0.00
42002G	31	1	24.00	0.00
42R800	12	1	24.00	0.00
48808	13	2	24.00	0.00
52832P	84	1	24.00	0.00
53001C	92	1	24.00	0.00
56R845	03	1	24.00	0.00
71R845	84	1	24.00	0.00
82R190	96	1	24.00	0.00
82R814	18	1	24.00	0.00
82R841	95	1	24.00	0.00
86R876	95	1	24.00	0.00
03R800	53	16	24.20	0.00
81R800	43	3	24.20	0.00
48810	92	4	24.50	0.00
03037	52	65	24.90	0.00
03842B	41	5	25.00	0.00
03847J	31	4	25.00	0.00
03F800	18	1	25.00	0.00
03S001	95	5	25.00	0.00
07847H	41	2	25.00	0.00
09811	01	1	25.00	0.00
45811	83	1	25.00	0.00
48809	95	2	25.00	0.00
82009	33	19	25.00	0.00
82R833	92	11	25.00	0.00
82Z800	18	1	25.00	0.00
99R008	83	2	25.00	0.00
21R829	52	128	25.10	0.00
68001	52	80	25.10	0.00
56R833	84	6	25.40	0.00
21006	21	17	25.50	0.00
96001	92	3	25.50	0.00
03803B	92	4	26.00	0.00
03R845	02	2	26.00	0.00
04839	13	3	26.00	0.00
42R316	13	2	26.00	0.00
42R833	86	3	26.00	0.00
56008H	13	4	26.00	0.00
63D800	14	2	26.00	0.00
71R801	86	6	26.00	0.00
04019C	14	6	26.50	0.00
42R833	21	42	26.80	0.00
45832	11	1	27.00	0.00
56008X	53	4	27.00	0.00
03R833	83	4	27.30	0.00
04018	52	148	27.40	0.00
03844	01	4	27.50	0.00
21004	14	16	27.50	0.00
71003E	21	102	27.50	0.00
71R833	21	60	27.50	0.00
99R348	95	4	27.50	0.00
03847J	11	1	28.00	0.00
42002F	84	4	28.00	0.00
42845B	01	1	28.00	0.00
56021A	01	1	28.00	0.00
71006	41	1	28.00	0.00
85014A	84	4	28.00	0.00
86007	83	3	28.00	0.00
99R875	83	3	28.00	0.00
99R400	95	14	28.20	0.00
68R800	92	13	28.30	0.00
03R845	92	12	28.50	0.00
04R854	14	28	28.50	0.00
09847	12	14	28.50	0.00
42B800	52	71	28.50	0.00
56R820	31	5	28.50	0.00
71R858	41	4	28.50	0.00
86R801	13	2	28.50	0.00
42R833	52	79	28.90	0.00
03803D	02	2	29.00	0.00
03819U	14	4	29.00	0.00
03F110	84	3	29.00	0.00
04R854	41	2	29.00	0.00
18029F	95	4	29.00	0.00
21C002	31	4	29.00	0.00
42811	83	2	29.00	0.00
45R800	84	3	29.00	0.00
71003K	12	1	29.00	0.00
09803E	41	4	29.10	0.00
56002E	84	15	29.20	0.00
86007	92	4	29.50	0.00
03F800	83	2	30.00	0.00
03R257	84	1	30.00	0.00
03S800	83	1	30.00	0.00
04R320	86	5	30.00	0.00
21003	31	8	30.00	0.00
21008A	18	1	30.00	0.00
48810	95	1	30.00	0.00
56002J	31	3	30.00	0.00
71002	13	1	30.00	0.00
71003B	13	5	30.00	0.00
81R801	92	2	30.00	0.00
82Z003	84	1	30.00	0.00
86007	95	1	30.00	0.00
99R845	96	1	30.00	0.00
04R859	21	76	30.10	0.00
03003A	84	8	30.50	0.00
03803D	43	2	30.50	0.00
56R845	52	82	30.80	0.00
09R816	84	2	31.00	0.00
58R800	17	4	31.00	0.00
63R800	84	3	31.00	0.00
71R834	95	4	31.00	0.00
71V800	14	6	31.00	0.00
86001	31	4	31.00	0.00
56R833	33	19	31.70	0.00
03842C	92	3	32.00	0.00
03C001	11	1	32.00	0.00
03C001	83	1	32.00	0.00
03R814	92	3	32.00	0.00
04R801	13	1	32.00	0.00
04R839	41	1	32.00	0.00
09F828	31	8	32.00	0.00
18R874	02	1	32.00	0.00
41R845	52	52	32.00	0.00
42001F	84	7	32.00	0.00
71003A	11	1	32.00	0.00
71003A	13	6	32.00	0.00
71004	43	1	32.00	0.00
71V800	11	1	32.00	0.00
82009	41	1	32.00	0.00
82Z800	84	1	32.00	0.00
86006E	01	1	32.00	0.00
86R833	52	49	32.00	0.00
86R845	21	49	32.00	0.00
86Z800	83	1	32.00	0.00
88R834	92	1	32.00	0.00
96R800	12	1	32.00	0.00
99R834	13	2	32.00	0.00
45R800	43	1	32.10	0.00
82Z002	21	37	32.10	0.00
83R800	43	3	32.30	0.00
03R833	92	3	32.50	0.00
42B800	21	37	32.50	0.00
99R002	84	8	32.50	0.00
86007	84	10	32.80	0.00
03819B	83	2	33.00	0.00
03842J	31	3	33.00	0.00
03S836	13	4	33.00	0.00
04R853	14	1	33.00	0.00
56002B	92	3	33.00	0.00
56022	12	3	33.00	0.00
71003E	17	7	33.00	0.00
71005	11	2	33.00	0.00
71R858	13	2	33.00	0.00
71R876	92	7	33.00	0.00
81845R	13	7	33.10	0.00
04019X	33	15	33.30	0.00
03847	41	14	33.50	0.00
48809	92	6	33.50	0.00
56R833	21	93	33.50	0.00
56R876	13	6	33.50	0.00
88R019	83	5	33.50	0.00
03037	95	2	34.00	0.00
04018	86	5	34.00	0.00
04019A	86	6	34.00	0.00
71001	41	2	34.00	0.00
71003E	13	4	34.00	0.00
71R834	92	13	34.00	0.00
81845R	31	3	34.00	0.00
82845H	31	6	34.00	0.00
56R833	52	134	34.30	0.00
03F860	84	7	34.50	0.00
03R233	01	7	34.50	0.00
04004U	41	2	34.50	0.00
04847	84	4	34.50	0.00
07R800	83	3	34.50	0.00
07R801	41	3	34.50	0.00
86R800	43	2	34.50	0.00
03819A	96	2	35.00	0.00
03842	15	9	35.00	0.00
03R801	83	5	35.00	0.00
03R845	86	1	35.00	0.00
04C001	31	8	35.00	0.00
09847H	12	10	35.00	0.00
29R829	12	1	35.00	0.00
42001F	86	4	35.00	0.00
56R052	83	1	35.00	0.00
71001	43	2	35.00	0.00
71R800	01	4	35.00	0.00
82A004	86	1	35.00	0.00
86006E	92	4	35.00	0.00
71003K	14	5	35.50	0.00
03037	41	3	35.70	0.00
03F840	17	1	36.00	0.00
03R175	92	1	36.00	0.00
03R874	13	2	36.00	0.00
41R800	17	9	36.00	0.00
42811	13	2	36.00	0.00
56R814	41	1	36.00	0.00
71G012	12	9	36.00	0.00
71R853	33	14	36.00	0.00
83811	83	8	36.00	0.00
86R834	95	1	36.00	0.00
04R800	18	8	36.50	0.00
09844E	33	21	36.50	0.00
56008H	83	4	36.50	0.00
09R800	14	9	36.70	0.00
04019X	14	4	37.00	0.00
09R800	41	2	37.00	0.00
56002M	92	20	37.00	0.00
58R800	96	4	37.00	0.00
82R801	92	10	37.00	0.00
83001A	31	2	37.00	0.00
21844	14	10	37.20	0.00
03S005	13	20	37.40	0.00
07R800	33	15	37.50	0.00
63001A	21	16	37.50	0.00
71R800	33	18	37.50	0.00
82R833	84	4	37.50	0.00
04847	12	11	38.00	0.00
21R801	13	4	38.00	0.00
82845B	41	4	38.00	0.00
96R833	95	1	38.00	0.00
04R800	41	1	38.30	0.00
56R811	14	54	38.50	0.00
71R854	14	57	38.50	0.00
03L860	31	3	39.00	0.00
42001F	31	3	39.00	0.00
56002F	15	4	39.00	0.00
71004	92	9	39.00	0.00
86001	86	4	39.00	0.00
99R003	95	9	39.00	0.00
42R876	92	3	39.30	0.00
04004A	21	62	39.40	0.00
03R857	84	5	39.50	0.00
09803F	41	3	39.50	0.00
81011	13	20	39.70	0.00
03R859	14	66	39.90	0.00
03003A	95	1	40.00	0.00
03803B	95	2	40.00	0.00
03842C	84	1	40.00	0.00
03844B	86	1	40.00	0.00
03844H	83	1	40.00	0.00
03F800	12	2	40.00	0.00
03R225	92	1	40.00	0.00
03R266	86	1	40.00	0.00
03R800	15	7	40.00	0.00
03R845	13	6	40.00	0.00
03R858	86	1	40.00	0.00
04R845	02	7	40.00	0.00
09006B	86	1	40.00	0.00
18029D	86	1	40.00	0.00
42002F	83	3	40.00	0.00
42811	95	2	40.00	0.00
42R875	92	1	40.00	0.00
45R800	92	1	40.00	0.00
46832B	41	6	40.00	0.00
46D800	83	1	40.00	0.00
52R800	13	1	40.00	0.00
56002A	15	1	40.00	0.00
56008X	92	2	40.00	0.00
56014	95	1	40.00	0.00
56818	11	1	40.00	0.00
56D800	84	1	40.00	0.00
56R833	86	1	40.00	0.00
56R845	14	1	40.00	0.00
58D800	95	1	40.00	0.00
71001	84	1	40.00	0.00
71005	84	1	40.00	0.00
71R853	13	1	40.00	0.00
81R800	95	1	40.00	0.00
82845S	83	1	40.00	0.00
86007	86	1	40.00	0.00
03F109	41	4	40.20	0.00
03R801	84	9	40.50	0.00
21R800	33	18	40.60	0.00
71003G	13	2	40.90	0.00
03R234	92	3	41.00	0.00
48811	84	5	41.00	0.00
56014A	12	2	41.00	0.00
71004	84	4	41.00	0.00
86R834	84	2	41.00	0.00
99R833	01	5	41.00	0.00
03F847	13	6	41.10	0.00
09006A	95	2	41.50	0.00
03819A	13	4	42.00	0.00
03842	95	5	42.00	0.00
04019A	52	116	42.00	0.00
52R816	01	1	42.00	0.00
63002	11	1	42.00	0.00
82R820	13	2	42.00	0.00
84R816	92	4	42.00	0.00
86R800	18	2	42.00	0.00
96R800	14	14	42.00	0.00
29R824	43	2	42.20	0.00
56R820	41	2	42.20	0.00
56R836	92	31	42.40	0.00
03803B	84	5	42.50	0.00
04R854	01	6	42.50	0.00
21R800	83	10	42.50	0.00
03803D	01	2	43.00	0.00
48D800	86	8	43.00	0.00
56R814	92	5	43.00	0.00
81011	31	15	43.00	0.00
03F100	13	4	43.30	0.00
29R845	52	130	43.40	0.00
88R845	84	6	43.60	0.00
71R833	33	25	43.90	0.00
03844D	86	2	44.00	0.00
03R282	13	2	44.00	0.00
41B800	13	1	44.00	0.00
41B800	31	5	44.00	0.00
63001A	11	1	44.00	0.00
81845T	13	2	44.00	0.00
86006E	83	3	44.00	0.00
29001	84	14	44.20	0.00
03819	02	4	44.50	0.00
42001H	92	6	44.50	0.00
42818	84	8	44.50	0.00
56R820	13	3	44.50	0.00
03803B	12	3	45.00	0.00
42R800	43	1	45.00	0.00
56D015	02	2	45.00	0.00
71R870	43	3	45.00	0.00
82845L	13	1	45.00	0.00
86R803	02	2	45.00	0.00
42001G	92	10	45.80	0.00
71R836	92	42	45.90	0.00
03R265	31	2	46.00	0.00
03R265	41	3	46.00	0.00
07847H	31	8	46.00	0.00
71002	12	1	46.00	0.00
71003E	18	2	46.00	0.00
71S006	95	2	46.00	0.00
56014A	14	47	46.20	0.00
03847H	92	14	46.40	0.00
41002D	31	4	46.50	0.00
56D015	95	6	46.50	0.00
88R019	03	5	46.50	0.00
42R824	14	50	46.60	0.00
03F860	83	5	47.00	0.00
99R834	95	3	47.00	0.00
29R833	33	35	47.30	0.00
71001A	12	4	47.50	0.00
03819	95	8	47.80	0.00
03003A	86	2	48.00	0.00
03803B	83	2	48.00	0.00
03819B	86	2	48.00	0.00
04847H	12	14	48.00	0.00
09006A	83	1	48.00	0.00
18029D	84	3	48.00	0.00
48811	95	2	48.00	0.00
52D001	02	1	48.00	0.00
56002C	11	1	48.00	0.00
63001A	15	1	48.00	0.00
71R816	83	5	48.00	0.00
82Z003	86	2	48.00	0.00
86R816	92	1	48.00	0.00
99R800	43	3	48.00	0.00
03R859	21	134	48.50	0.00
21005	86	2	48.50	0.00
96R800	13	6	48.50	0.00
42R814	13	15	48.80	0.00
03F836	86	3	49.00	0.00
04R803	01	3	49.00	0.00
41R800	31	3	49.00	0.00
42002F	92	7	49.00	0.00
82845S	31	8	49.00	0.00
85014C	84	9	49.00	0.00
29R829	21	63	49.20	0.00
46832	83	7	49.30	0.00
71V017	52	156	49.40	0.00
82R833	33	18	49.40	0.00
03803	01	4	49.50	0.00
09006A	84	4	49.50	0.00
09803	31	7	49.50	0.00
56008A	13	5	49.50	0.00
86R800	95	6	49.50	0.00
82845B	15	5	49.80	0.00
82Z003	92	14	49.80	0.00
07001	11	2	50.00	0.00
46832D	11	1	50.00	0.00
53001A	84	5	50.00	0.00
56832	11	1	50.00	0.00
68811G	84	1	50.00	0.00
71R800	11	1	50.00	0.00
82818	92	1	50.00	0.00
88R019	01	1	50.00	0.00
09803E	31	7	50.50	0.00
82Z003	83	3	50.50	0.00
03819	12	4	51.00	0.00
99R242	84	4	51.00	0.00
03037	92	10	51.10	0.00
03819A	31	6	51.10	0.00
71003B	33	26	51.30	0.00
48809	83	3	51.50	0.00
71007	21	73	51.50	0.00
03R843	84	2	52.00	0.00
03S876	13	9	52.00	0.00
18R831	92	3	52.00	0.00
86006A	83	3	52.00	0.00
88R845	95	5	52.00	0.00
99R002	86	4	52.00	0.00
03003A	13	9	52.30	0.00
04004D	14	14	52.30	0.00
03R801	17	11	52.50	0.00
03S800	12	53	52.50	0.00
56002E	92	5	52.50	0.00
03003A	52	198	52.70	0.00
03F845	12	1	53.00	0.00
04R800	13	3	53.00	0.00
04R845	43	2	53.00	0.00
53001A	13	7	53.00	0.00
56002A	84	5	53.00	0.00
71003A	84	5	53.00	0.00
86R800	13	2	53.00	0.00
03F800	17	14	53.50	0.00
86006E	31	19	53.50	0.00
68001	41	1	53.90	0.00
04842A	11	2	54.00	0.00
61R831	13	1	54.00	0.00
71R854	13	1	54.00	0.00
83810	92	4	54.00	0.00
52R800	17	10	54.30	0.00
03F836	02	2	54.50	0.00
83R800	13	4	54.50	0.00
03003	31	10	55.00	0.00
46D800	13	4	55.00	0.00
85Z800	02	1	55.00	0.00
86006A	92	7	55.00	0.00
03844H	84	5	55.50	0.00
03F839	12	1	55.50	0.00
56R833	92	8	55.50	0.00
03847H	84	3	56.00	0.00
04R814	84	2	56.00	0.00
21002	33	36	56.00	0.00
56002K	12	3	56.00	0.00
81R801	31	6	56.00	0.00
82012	92	7	56.00	0.00
82A001	11	6	56.00	0.00
82Z002	86	3	56.00	0.00
86002	13	2	56.00	0.00
88R046	92	3	56.00	0.00
82R833	21	108	56.10	0.00
03F860	92	16	56.50	0.00
68001	92	28	56.80	0.00
03842D	13	2	57.00	0.00
03R816	03	3	57.00	0.00
56818	13	4	57.00	0.00
42007	14	8	57.10	0.00
03R858	13	5	57.50	0.00
71R814	13	11	57.50	0.00
71R845	21	121	57.50	0.00
99R004	84	21	57.70	0.00
03R858	92	9	58.00	0.00
09R800	01	5	58.00	0.00
29001	86	3	58.00	0.00
42R833	84	3	58.00	0.00
71003C	84	5	58.00	0.00
71R858	12	3	58.00	0.00
82008	11	1	58.00	0.00
48811F	31	2	58.20	0.00
56D015	84	7	58.50	0.00
04004D	13	4	59.00	0.00
71007	14	2	59.00	0.00
99R803	83	2	59.00	0.00
03819C	21	144	59.80	0.00
03S001	83	4	60.00	0.00
09R839	92	1	60.00	0.00
21R800	86	3	60.00	0.00
29R824	13	1	60.00	0.00
42002F	11	1	60.00	0.00
52001	03	1	60.00	0.00
52R873	92	7	60.00	0.00
56002M	31	3	60.00	0.00
56008A	86	2	60.00	0.00
56R800	95	1	60.00	0.00
68V800	92	1	60.00	0.00
71006	86	1	60.00	0.00
71C001	31	8	60.00	0.00
71R853	41	2	60.00	0.00
82845M	13	1	60.00	0.00
86009	02	1	60.00	0.00
86R800	01	2	60.00	0.00
86R816	01	1	60.00	0.00
86R834	86	1	60.00	0.00
03F845	41	9	60.90	0.00
41R801	92	2	61.00	0.00
71004A	31	5	61.00	0.00
82845C	84	3	61.00	0.00
71003E	14	21	61.20	0.00
03803E	83	4	62.00	0.00
03842J	41	5	62.00	0.00
04019C	83	11	62.00	0.00
21R800	01	3	62.00	0.00
42002A	92	2	62.00	0.00
03R843	86	2	62.50	0.00
41002C	92	8	62.50	0.00
61R800	13	8	62.50	0.00
81010	92	4	62.50	0.00
03844B	41	11	63.00	0.00
03F800	13	2	63.00	0.00
03R050	92	3	63.00	0.00
71009	95	15	63.00	0.00
71R800	43	6	63.00	0.00
03C001	33	23	63.70	0.00
96R800	17	18	63.80	0.00
04004D	86	8	64.00	0.00
21839	83	1	64.00	0.00
56014	21	126	64.00	0.00
03F841	41	3	64.50	0.00
03803A	53	47	64.70	0.00
03842C	83	3	65.00	0.00
61D800	12	2	65.00	0.00
82R814	13	45	65.20	0.00
99R005	03	4	65.20	0.00
03S800	13	67	65.50	0.00
86R824	14	42	65.80	0.00
21R829	41	7	65.90	0.00
03819A	53	128	66.00	0.00
03F110	92	7	66.00	0.00
03R834	95	6	66.00	0.00
71R854	92	8	66.00	0.00
71R839	13	6	66.50	0.00
03F800	14	11	67.00	0.00
03R801	18	9	67.00	0.00
04R801	31	10	67.00	0.00
99R008	92	25	67.50	0.00
81R800	18	5	67.60	0.00
96T800	31	23	68.00	0.00
98T800	84	5	68.00	0.00
04R320	84	14	68.30	0.00
21004	52	261	68.30	0.00
63R801	12	2	68.50	0.00
03803D	13	7	69.00	0.00
03844D	33	30	69.00	0.00
18029F	84	6	69.00	0.00
21C001	92	2	69.00	0.00
42002F	95	11	69.00	0.00
63R800	12	5	69.00	0.00
63R801	31	10	69.00	0.00
71001	92	12	69.00	0.00
29R838	43	1	69.40	0.00
71R839	31	14	69.50	0.00
46R801	12	2	70.00	0.00
86R845	02	4	70.00	0.00
42R876	13	15	71.00	0.00
71R824	14	87	71.50	0.00
82R841	84	4	71.50	0.00
18R874	86	1	72.00	0.00
21008A	83	10	72.00	0.00
42002A	86	1	72.00	0.00
42810	12	1	72.00	0.00
56002B	13	10	72.00	0.00
56008H	84	14	72.00	0.00
83810	11	1	72.00	0.00
88D145	41	9	72.00	0.00
88D256	41	9	72.00	0.00
98808	84	3	72.00	0.00
99R004	95	11	72.00	0.00
03R874	86	2	73.00	0.00
18029F	96	7	73.00	0.00
63R800	31	12	73.00	0.00
82845A	84	6	73.00	0.00
82Z800	83	7	73.00	0.00
96R800	95	4	73.00	0.00
03R839	84	4	73.50	0.00
09842	11	5	73.50	0.00
81R800	83	10	73.50	0.00
71V800	31	14	73.60	0.00
63001A	52	211	73.80	0.00
42R800	01	1	74.00	0.00
52832	83	6	74.00	0.00
53001A	31	2	74.00	0.00
82R814	92	6	74.00	0.00
21R829	21	68	74.20	0.00
82R800	95	9	74.50	0.00
46832	13	8	75.00	0.00
56R814	13	27	75.00	0.00
82008	02	6	75.00	0.00
03F800	92	9	75.20	0.00
71001	52	333	75.80	0.00
03819C	83	6	76.00	0.00
03R266	13	2	76.00	0.00
03R874	83	2	76.00	0.00
09006A	01	3	76.00	0.00
88D216	41	8	76.00	0.00
88D246	41	6	76.00	0.00
98R800	02	5	76.00	0.00
03819B	84	3	77.00	0.00
71C001	12	2	77.00	0.00
88D201	41	11	77.00	0.00
88D212	41	11	77.00	0.00
03803E	11	5	77.20	0.00
42007	52	97	77.70	0.00
03844C	13	2	78.00	0.00
56002D	31	14	78.00	0.00
82845H	13	3	78.00	0.00
98R800	95	8	78.00	0.00
21C002	41	4	78.50	0.00
99R833	14	10	79.00	0.00
04019C	21	111	79.20	0.00
71003E	52	94	79.20	0.00
03R257	83	1	80.00	0.00
09803F	84	1	80.00	0.00
09F828	41	8	80.00	0.00
21006	02	1	80.00	0.00
42007	12	1	80.00	0.00
42809	12	2	80.00	0.00
45848A	11	1	80.00	0.00
56002H	84	2	80.00	0.00
71R853	12	1	80.00	0.00
82008	12	6	80.00	0.00
56008A	84	4	80.30	0.00
