"","Operation Date","Sum of Hours","Hours Spent","PAC","Operation Code","Work Accomplishment ID","Emp Person ID","Count of Operations","Plan PAC","Plan Hours","Total Hours Spent","Operation Date FY"
"1","2015/01/29 00:00:00","40","","","","7776177","","","","","",""
"1","2015/01/30 00:00:00","1","","","","7766949","","","","","",""
"1","2015/02/03 00:00:00","2","","","","7640720","","","","","",""
"1","2015/02/05 00:00:00","1","","","","7755470","","","","","",""
"1","2015/02/05 00:00:00","2","","","","7755449","","","","","",""
"1","2015/02/05 00:00:00","2","","","","7755464","","","","","",""
"1","2015/02/05 00:00:00","2","","","","7778696","","","","","",""
"1","2015/02/05 00:00:00","5","","","","7734843","","","","","",""
"1","2015/02/05 00:00:00","15","","","","7622582","","","","","",""
"1","2015/02/05 00:00:00","36","","","","7776198","","","","","",""
"1","2015/02/10 00:00:00","10","","","","7778754","","","","","",""
"1","2015/02/11 00:00:00","2","","","","7806469","","","","","",""
"1","2015/02/12 00:00:00","1","","","","7732478","","","","","",""
"1","2015/02/12 00:00:00","1","","","","7804579","","","","","",""
"1","2015/02/12 00:00:00","2","","","","7766952","","","","","",""
"1","2015/02/12 00:00:00","5","","","","7802823","","","","","",""
"1","2015/02/12 00:00:00","48","","","","7776249","","","","","",""
"1","2015/02/13 00:00:00","1","","","","7640762","","","","","",""
"1","2015/02/13 00:00:00","1","","","","7782426","","","","","",""
"1","2015/02/18 00:00:00","2","","","","7802500","","","","","",""
"1","2015/02/18 00:00:00","4","","","","7777630","","","","","",""
"1","2015/02/19 00:00:00","4","","","","7804592","","","","","",""
"1","2015/02/19 00:00:00","4","","","","7806470","","","","","",""
"1","2015/02/19 00:00:00","5","","","","7784770","","","","","",""
"1","2015/02/19 00:00:00","10","","","","7802870","","","","","",""
"1","2015/02/25 00:00:00","2","","","","7817626","","","","","",""
"1","2015/02/26 00:00:00","4","","","","7704835","","","","","",""
"1","2015/02/26 00:00:00","5","","","","7678365","","","","","",""
"1","2015/02/26 00:00:00","5","","","","7784771","","","","","",""
"1","2015/02/26 00:00:00","5","","","","7804446","","","","","",""
"1","2015/03/05 00:00:00","1","","","","7779475","","","","","",""
"1","2015/03/05 00:00:00","2","","","","7796664","","","","","",""
"1","2015/03/05 00:00:00","3","","","","7777590","","","","","",""
"1","2015/03/05 00:00:00","4","","","","7627133","","","","","",""
"1","2015/03/05 00:00:00","5","","","","7784780","","","","","",""
"1","2015/03/05 00:00:00","10","","","","7622587","","","","","",""
"1","2015/03/05 00:00:00","10","","","","7622589","","","","","",""
"1","2015/03/05 00:00:00","10","","","","7819235","","","","","",""
"1","2015/03/07 00:00:00","1","","","","7640765","","","","","",""
"1","2015/03/11 00:00:00","3","","","","7702467","","","","","",""
"1","2015/03/11 00:00:00","4","","","","7817627","","","","","",""
"1","2015/03/12 00:00:00","1","","","","7838574","","","","","",""
"1","2015/03/12 00:00:00","4","","","","7784787","","","","","",""
"1","2015/03/12 00:00:00","4","","","","7796668","","","","","",""
"1","2015/03/12 00:00:00","10","","","","7817655","","","","","",""
"1","2015/03/12 00:00:00","10","","","","7819254","","","","","",""
"1","2015/03/12 00:00:00","10","","","","7838588","","","","","",""
"1","2015/03/13 00:00:00","1","","","","7640745","","","","","",""
"1","2015/03/18 00:00:00","10","","","","7817661","","","","","",""
"1","2015/03/19 00:00:00","1","","","","7627130","","","","","",""
"1","2015/03/19 00:00:00","2","","","","7656832","","","","","",""
"1","2015/03/19 00:00:00","2","","","","7838592","","","","","",""
"1","2015/03/19 00:00:00","4","","","","7838589","","","","","",""
"1","2015/03/20 00:00:00","3.9","","","","7643446","","","","","",""
"1","2015/03/20 00:00:00","5","","","","7817698","","","","","",""
"1","2015/03/25 00:00:00","0.5","","","","7850666","","","","","",""
"1","2015/03/26 00:00:00","1","","","","7838575","","","","","",""
"1","2015/03/26 00:00:00","4","","","","7838341","","","","","",""
"1","2015/03/26 00:00:00","5","","","","7838595","","","","","",""
"1","2015/03/26 00:00:00","6","","","","7622574","","","","","",""
"1","2015/03/26 00:00:00","10","","","","7838351","","","","","",""
"1","2015/03/26 00:00:00","20","","","","7860495","","","","","",""
"1","2015/03/27 00:00:00","1.8","","","","7838587","","","","","",""
