PlanFY,OpDateFY,Plan_PAC,Plan_Hours,Sum_of_Hours,Acc_Org
2011,2011,03803,461.00,47.00,KAN-DO
2011,2011,03803,461.00,5.00,SEA-DO
2011,2011,03803,492.00,17.00,DAL-DO
2011,2011,03803,588.00,113.00,LOS-DO
2011,2011,03803,653.00,332.00,NYK-DO
2011,2011,03803,686.00,1362.00,SAN-DO
2011,2011,03803,779.00,2315.50,SEA-DO
2011,2011,03803,1044.00,3262.30,SJN-DO
2011,2011,03803,1160.00,941.70,DAL-DO
2011,2011,03803,1188.00,8546.50,CHI-DO
2011,2011,03803,1387.00,949.20,LOS-DO
2011,2011,03803,1512.00,5479.70,PHI-DO
2011,2011,03803,1800.00,6080.30,NWJ-DO
2011,2011,03803,2196.00,6364.10,FLA-DO
2011,2011,03803,2592.00,12241.30,MIN-DO
2011,2011,03803,2850.00,2.00,ORAHQ
2011,2011,03803,2988.00,6206.50,KAN-DO
2011,2011,03803,3006.00,7251.90,BLT-DO
2011,2011,03803,3024.00,9148.00,DET-DO
2011,2011,03803,3132.00,6002.50,NOL-DO
2011,2011,03803,3438.00,9374.70,ATL-DO
2011,2011,03803,3744.00,6126.20,CIN-DO
2011,2011,03803,4032.00,10218.50,NWE-DO
2011,2011,03803,4050.00,7739.30,DEN-DO
2011,2011,03803,5760.00,8622.90,NYK-DO
2011,2011,03803,6048.00,15722.00,SAN-DO
2011,2011,03803,6876.00,18999.30,SEA-DO
2011,2011,03803,10224.00,11224.10,DAL-DO
2011,2011,03803,12240.00,13275.20,LOS-DO
2011,2011,03803A,12.00,6.00,FLA-DO
2011,2011,03803A,12.00,31.00,SJN-DO
2011,2011,03803A,16.00,8.00,FLA-DO
2011,2011,03803A,30.00,9.00,NWJ-DO
2011,2011,03803A,40.00,40.00,CHI-DO
2011,2011,03803A,40.00,12.00,DEN-DO
2011,2011,03803A,40.00,1.50,DET-DO
2011,2011,03803A,40.00,52.00,KAN-DO
2011,2011,03803A,40.00,275.00,MIN-DO
2011,2011,03803A,40.00,48.00,NWE-DO
2011,2011,03803A,40.00,54.00,SAN-DO
2011,2011,03803A,40.00,78.00,SEA-DO
2011,2011,03803A,40.00,40.00,SJN-DO
2011,2011,03803A,42.00,173.00,DEN-DO
2011,2011,03803A,42.00,121.00,NWE-DO
2011,2011,03803A,42.00,227.50,SAN-DO
2011,2011,03803A,47.00,8.00,SAN-DO
2011,2011,03803A,48.00,201.00,CHI-DO
2011,2011,03803A,48.00,63.00,KAN-DO
2011,2011,03803A,48.00,94.00,NOL-DO
2011,2011,03803A,53.00,1.40,DEN-DO
2011,2011,03803A,54.00,98.00,PHI-DO
2011,2011,03803A,60.00,29.00,DET-DO
2011,2011,03803A,65.00,1.50,PHI-DO
2011,2011,03803A,74.00,7.40,DET-DO
2011,2011,03803A,90.00,21.00,ATL-DO
2011,2011,03803A,90.00,35.50,NYK-DO
2011,2011,03803A,102.00,255.80,MIN-DO
2011,2011,03803A,112.00,0.50,NYK-DO
2011,2011,03803A,114.00,46.00,BLT-DO
2011,2011,03803A,120.00,125.50,DAL-DO
2011,2011,03803A,136.00,21.80,BLT-DO
2011,2011,03803A,140.00,100.00,SJN-DO
2011,2011,03803A,144.00,128.60,LOS-DO
2011,2011,03803A,146.00,1.00,DAL-DO
2011,2011,03803A,162.00,155.50,SEA-DO
2011,2011,03803A,172.00,4.00,LOS-DO
2011,2011,03803A,210.00,265.00,FLA-DO
2011,2011,03803A,336.00,864.40,PRL-SW
2011,2011,03803A,378.00,459.10,PRL-NW
2011,2011,03803A,420.00,428.00,NWJ-DO
2011,2011,03803A,476.00,460.20,ARL
2011,2011,03803A,504.00,205.70,NRL
2011,2011,03803A,595.00,928.50,SAN-DO
2011,2011,03803A,644.00,492.00,SRL
2011,2011,03803A,665.00,1030.50,DEN-DO
2011,2011,03803A,665.00,1036.00,NWE-DO
